API_UWI,API_UWI_12,WellID,LogId,DocumentName,FileExtension,DocumentType,LogType,LogTypeCode,TopDepth,BaseDepth,DocCategory,Description,NumberOfCurves,DepthIndexType,FileSize,DateUpdated,has_resistivity,has_gamma_ray,has_porosity_nphi,has_caliper,has_density,has_gas,has_porosity_dphi,has_porosity,has_lithology,has_sonic_transit_time,has_spontaneous_potential,has_photoelectric_effect,has_dipmeter,has_porosity_sphi,has_spectral_gamma_ray,has_total_organic_carbon,has_rate_of_penetration
42-371-10615,42-371-10615-00,840420002901870,813706468,42-371-10615-00-00_ECP_RS0041754717.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,88.00,6434.00,LAS,"DT_E,GR_E",8,MD,1743356,2023-11-20,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-371-10615,42-371-10615-00,840420002901870,812080399,42-371-10615-00-00_DIG_RS0032000164.LAS,LAS,DIGITAL_LOG,RAW,100,88.00,6434.00,LAS,"DT,GR",2,MD,395882,2020-05-10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-00779,42-389-00779-00,840420005298979,813734785,42-389-00779-00-00_ECP_RS0041793540.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,101.00,5382.00,LAS,"DT_E,GR_E",8,MD,1451546,2023-11-21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-00779,42-389-00779-00,840420005298979,811933004,42-389-00779-00-00_DIG_RS0031787401.LAS,LAS,DIGITAL_LOG,RAW,100,101.00,5382.00,LAS,"DT,GR",2,MD,293609,2020-05-10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-00779,42-389-00779-00,840420005298979,812582620,42-389-00779-00-00_EC_RS0032934671.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,101.00,5382.00,LAS,"DT,GR",2,MD,499544,2023-11-04,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-00438,42-389-00438-00,840420002915188,813710307,42-389-00438-00-00_ECP_RS0041759995.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,49.00,271.00,LAS,"DT_E,GR_E",8,MD,65380,2023-11-21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-00438,42-389-00438-00,840420002915188,812343706,42-389-00438-00-00_DIG_RS0032306046.LAS,LAS,DIGITAL_LOG,RAW,100,49.00,271.00,LAS,"DT,GR",2,MD,18760,2020-05-10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-00438,42-389-00438-00,840420002915188,812554078,42-389-00438-00-00_EC_RS0032899000.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,49.00,271.00,LAS,"DT,GR",2,MD,23998,2023-11-04,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-01015,42-389-01015-00,840420002949040,812343780,42-389-01015-00-00_DIG_RS0032306122.LAS,LAS,DIGITAL_LOG,RAW,100,101.00,5802.00,LAS,"DT,GR",2,MD,411785,2020-05-10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-01015,42-389-01015-00,840420002949040,812513694,42-389-01015-00-00_EC_RS0032848555.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,101.00,5802.00,LAS,"DT,GR",2,MD,539024,2023-11-04,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-01015,42-389-01015-00,840420002949040,813719364,42-389-01015-00-00_ECP_RS0041772429.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,101.00,5802.00,LAS,"DT_E,GR_E",8,MD,1566626,2023-11-21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-371-05736,42-371-05736-00,840420002865515,810031526,42-371-05736-00-00_DIG_RS0022586260.LAS,LAS,DIGITAL_LOG,RAW,100,1000.00,15733.00,LAS,"DT,DTEDIT,GR,GR_ORG",4,,2421408,2019-01-23,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-00434,42-389-00434-00,840420005521342,812052262,42-389-00434-00-00_DIG_RS0031959478.LAS,LAS,DIGITAL_LOG,RAW,100,51.00,6194.00,LAS,"DT,GR",2,MD,344625,2020-05-10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-00434,42-389-00434-00,840420005521342,813930176,42-389-00434-00-00_EC_RS0044183443.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,51.00,6194.00,LAS,"DT,GR",2,MD,580572,2023-11-04,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-00434,42-389-00434-00,840420005521342,814492949,42-389-00434-00-00_ECP_RS0044810266.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,51.00,6194.00,LAS,"DT_E,GR_E",8,MD,1687734,2023-11-21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-10423,42-389-10423-00,840420003198261,812602242,42-389-10423-00-00_EC_RS0032959179.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,33.00,21244.00,LAS,"CALI,DT,GR,NPHI,RESD,RHOB",6,MD,4542615,2023-11-04,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
42-389-10423,42-389-10423-00,840420003198261,813706001,42-389-10423-00-00_ECP_RS0041754069.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,33.00,21244.00,LAS,"CALI_E,DPHI_265_E,DPHI_271_E,DT_E,GR_E,NPHI_E,RESD_E,RHOB_E",29,MD,19181870,2023-11-21,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
42-389-10423,42-389-10423-00,840420003198261,812343737,42-389-10423-00-00_DIG_RS0032306077.LAS,LAS,DIGITAL_LOG,RAW,100,33.00,21244.00,LAS,"CAL,DPHI,DT,GR,ILD,NPHI,RHOB",7,MD,4408775,2020-05-10,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
42-371-34298,42-371-34298-00,840420003195915,817303945,42-371-34298-00-00_EC_RS0056189755.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,50.00,5375.00,LAS,"CALI,DPHI_LS,DRHO,DT,GR,NPHI_LS,RESD,RESM,RHOB,SP",10,MD,1786775,2024-02-08,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0
42-371-34298,42-371-34298-00,840420003195915,817251644,42-371-34298-00-00_DIG_RS0056075719.LAS,LAS,DIGITAL_LOG,RAW,100,50.00,5375.00,LAS,"CALD,CORR,DPOR_LS,DT,GRD,ILD,ILM,NPOR_LS,RHOB,SPR",10,MD,1431116,2024-01-05,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0
42-371-34298,42-371-34298-00,840420003195915,817321346,42-371-34298-00-00_ECP_RS0056208272.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,50.00,5375.00,LAS,"CALI_E,DPHI_265_E,DPHI_271_E,DRHO_E,DT_E,GR_E,NPHI_E,RESD_E,RESM_E,RHOB_E,SP_E",41,MD,6739442,2024-02-18,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0
42-389-10205,42-389-10205-00,840420002952810,813703203,42-389-10205-00-00_ECP_RS0041750168.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,79.00,21755.00,LAS,"CALI_E,DPHI_265_E,DPHI_271_E,DT_E,GR_E,RESD_E,RHOB_E,SP_E",29,MD,19602250,2023-11-21,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0
42-389-10205,42-389-10205-00,840420002952810,812343419,42-389-10205-00-00_DIG_RS0032305754.LAS,LAS,DIGITAL_LOG,RAW,100,79.00,21755.00,LAS,"CAL,DT,GR,ILD,LAT,RHOB,SP",7,MD,4423944,2020-05-10,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
42-389-10205,42-389-10205-00,840420002952810,812577855,42-389-10205-00-00_EC_RS0032928727.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,79.00,21755.00,LAS,"CALI,DT,GR,RESD,RHOB,SP",6,MD,4642128,2023-11-04,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
42-371-33090,42-371-33090-00,840420002847872,817303907,42-371-33090-00-00_EC_RS0056189717.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,0,7147.00,LAS,"CALI,DPHI_LS,DRHO,DT,GR,GR__01,GR__02,NPHI_LS,RESD_LL,RESS_LL,RHOB",11,MD,2609687,2024-02-08,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
