Depth (km),VP (km/s),VS (km/s)
-1.22,2.1,1.17
0.06,3.0,1.67
0.15,4.3,2.39
0.50,4.55,2.53
1.00,6.10,3.39
1.50,4.3,2.39
2.00,4.5,2.50
2.50,3.9,2.17
3.25,3.65,2.03
4.60,3.80,2.11
5.20,4.75,2.64
5.35,5.8,3.22
5.80,5.3,2.94
6.20,6.0,3.33
10.00,6.0,3.33
