ev_id,station,r,az,tt_P,tt_S,ts-tp
texnet2023vmel,PB36,2.839432763740724,283.4937414793646,-1.215999,3.154001,4.37
texnet2023yvik,PB24,2.2015708173232458,148.94434088944618,-0.469346,1.713857,2.183203
texnet2022wmyn,PB24,2.754361018045499,241.04116286742868,0.017213,2.529922,2.512709
texnet2024cegj,WB03,0.11918370983874887,237.43941822895493,0.20275,2.836089,2.633339
texnet2023iard,PB04,1.0352766537956894,53.75817126805992,0.388068,0.870243,0.48217499999999996
texnet2022wmmo,WB03,0.5278559791748524,290.5566359852495,0.400315,1.546222,1.145907
texnet2022wnoz,PB24,2.6511853372023966,185.75107866338794,0.42285,1.503113,1.080263
texnet2023idqz,PB04,1.300662992624335,87.26034878681399,0.438439,0.91007,0.471631
texnet2023ybum,PB37,2.3560593510641303,244.01986948989605,0.496485,1.422064,0.9255789999999999
texnet2023naua,PB24,2.2154712294639523,4.4704151132670935,0.507423,1.025287,0.5178640000000001
texnet2023xfvn,PB24,2.269539192541026,352.86748186188476,0.554903,1.119959,0.5650559999999999
texnet2023xfvl,PB24,2.248737070548876,354.2852729822802,0.556763,0.973763,0.41700000000000004
texnet2023zosl,WB03,1.7116739069957505,97.32143797495634,0.567748,1.568868,1.0011199999999998
texnet2021nnhv,PB28,2.7426990306315737,347.94569574756457,0.600113,1.695666,1.0955529999999998
texnet2023ybum,PB29,2.906018846903823,344.1385036311212,0.621537,1.681836,1.060299
texnet2022csxs,PB16,2.242577339708115,238.69921818956433,0.631927,1.134723,0.5027959999999999
texnet2022pysr,PB04,1.80706103200005,19.53710665934941,0.644875,1.198211,0.5533359999999999
texnet2024dcwo,PB35,2.6620483043055225,276.2652485745851,0.648657,1.79637,1.147713
texnet2023lccc,PB24,2.612994742340351,334.44501154522703,0.656817,1.180467,0.52365
texnet2023vxcq,PB24,2.154471959461751,195.8716175722353,0.658196,2.339864,1.681668
texnet2022wgxy,PB04,1.6016955558784078,4.060930559641944,0.682904,1.158142,0.47523800000000005
texnet2022wcaa,PB16,2.1479648820930435,194.92453696497577,0.686484,1.129709,0.4432250000000001
texnet2022vofn,PB04,1.8440321027775073,359.11148434390117,0.696797,1.243692,0.546895
texnet2023jqyx,PB04,2.4238651764473143,9.369668087275038,0.70094,1.237002,0.5360619999999999
texnet2023runw,WB03,2.2048174771309523,94.57591380009906,0.70248,3.051728,2.3492480000000002
texnet2022tvbo,SA02,0.38268014853134197,49.53015926416139,0.708138,1.449784,0.7416459999999999
texnet2021wlww,PB16,2.4283438119045266,254.05283194821845,0.725045,1.248433,0.5233879999999999
texnet2023cjqe,PB16,1.7150886325687043,222.42103755631044,0.728161,1.307191,0.57903
texnet2023iaau,PB04,1.504589157184832,45.506803614220374,0.73606,1.192222,0.45616199999999985
texnet2023icjo,PB04,1.6283291295541336,32.544504378076034,0.741864,1.198478,0.45661399999999996
texnet2023wmzk,SA02,1.1549790336465378,75.65622795548659,0.747203,1.415608,0.668405
texnet2021vicn,PB04,1.504589157184832,45.506803614220374,0.753691,1.220423,0.46673200000000004
texnet2021vize,PB04,1.52348012678321,39.84191223251168,0.75978,1.266444,0.5066639999999999
texnet2023rshr,PB16,1.237327911555237,81.49436981049705,0.7674,1.282907,0.515507
texnet2023runw,PB24,2.5811134919976566,288.7499887829358,0.804277,3.210037,2.40576
texnet2023vxat,PB24,1.16060664157551,165.41631989689435,0.807144,1.63826,0.8311160000000001
texnet2021dqbw,PB33,1.687807992580855,315.1916628423295,0.821284,1.687959,0.866675
texnet2021wqqn,PB04,2.960742513105997,354.47619378971643,0.832114,1.479677,0.6475629999999999
texnet2024cbww,PB16,1.6822517210550294,1.1370596278762253,0.851391,1.44943,0.598039
texnet2023tizq,PB16,1.8915976998443367,105.18374848668275,0.862744,1.383034,0.5202900000000001
texnet2021drdt,PB33,1.6723575143999283,315.9450310665805,0.874458,1.553546,0.6790880000000001
texnet2021paob,PB16,2.2633017818145005,175.84333830077657,0.884216,1.487539,0.6033229999999999
texnet2022lvxs,PB16,2.9460531126589773,24.441061473404478,0.887138,1.564889,0.677751
texnet2024beol,PB16,2.393624943107324,47.69445379721415,0.889686,1.475063,0.585377
texnet2021kzbe,PB16,1.6454593638686648,16.085649107754378,0.901926,1.50681,0.604884
texnet2021loxf,PB16,2.049002413598335,0.5600946358851651,0.913872,1.532492,0.61862
texnet2023nvjr,PB16,1.8412638330457352,97.71200683296703,0.914348,1.504826,0.590478
texnet2022ltsl,PB28,2.420402200320197,246.91829554756842,0.916145,2.00249,1.086345
texnet2022pasd,SA02,0.3035718363521796,296.69718489835395,0.919895,1.607317,0.6874220000000001
texnet2022wpqo,PB33,2.417733849940492,315.11765101556125,0.937878,1.692945,0.7550669999999999
texnet2022duwl,SA02,0.26613836051462775,330.5469045941247,0.939501,1.513855,0.5743539999999999
texnet2022webj,PB16,2.8269802211720085,27.334713965999885,0.956346,1.534864,0.578518
texnet2022xiza,PB29,1.893292597190351,310.1994108253528,0.969231,1.922873,0.9536420000000001
texnet2021eoja,PB16,2.9701727286529933,87.9169100883784,0.97121,1.615504,0.644294
texnet2022frzt,SA02,0.3245646257721084,43.59239678820781,0.972631,1.549444,0.576813
texnet2022molh,PB16,2.648289196381457,341.4134200134875,0.981318,1.817836,0.836518
texnet2023xxnd,PB20,2.4408248581090706,207.0250026265767,1.010602,1.693682,0.6830799999999999
texnet2023mczx,PB29,1.2427190116520894,300.57268514924556,1.019544,1.629085,0.6095409999999999
texnet2023xdga,WB03,1.65597546335945,125.1942940140661,1.032848,1.874246,0.8413980000000001
texnet2024diyd,PB24,2.1507015589027065,196.47923299556672,1.041788,2.572026,1.5302380000000002
texnet2023xxnd,PB23,2.81025270063687,310.12016359973546,1.059971,1.70326,0.643289
texnet2023speg,PB29,1.671066844712853,331.5474700939231,1.061876,1.877901,0.816025
texnet2022wfvj,SA02,2.6364632134900785,75.7749621965309,1.070166,1.691377,0.621211
texnet2023wamv,PB35,2.47373620349864,345.47832473234297,1.070504,1.613412,0.5429080000000002
texnet2023rcof,PB29,1.6231869681994342,334.8424080611587,1.073814,1.862854,0.78904
texnet2022wptn,PB33,2.700741497252387,311.7860893994485,1.087047,1.675276,0.5882289999999999
texnet2023vyma,PB24,1.469517430282565,156.56383484821288,1.1036,1.955829,0.8522290000000001
texnet2023vxnz,SA02,2.6806405668005646,65.53375357791073,1.107308,2.016291,0.9089829999999999
texnet2023xtgp,PB35,2.731092544559372,256.5000839421273,1.108164,1.99897,0.890806
texnet2022wmmq,WB03,2.704110794928204,150.31809004043373,1.114883,2.582299,1.4674159999999998
texnet2023vxam,PB24,2.3328356338595637,222.02543312238421,1.12889,2.254726,1.1258359999999998
texnet2024gyyq,PB29,2.066179813009402,310.21467505988477,1.135306,1.893585,0.7582790000000001
texnet2023zprd,PB26,2.60392628742049,200.5515947429453,1.14407,1.898648,0.754578
texnet2023wkkp,PB24,2.3646186620390495,191.73791149877695,1.144416,2.154349,1.0099329999999997
texnet2022wmrd,WB03,2.896791374879694,138.46729023948134,1.150001,2.205279,1.055278
texnet2023xsst,PB29,1.8354611224855115,325.24739171336745,1.154643,2.006028,0.8513850000000001
texnet2023smgz,PB35,0.7911647518361516,339.5831360524233,1.160626,1.705353,0.544727
texnet2023skwh,PB36,2.4625429377728563,95.02524908604448,1.164166,2.255626,1.0914599999999999
texnet2023dspm,WB03,1.8582629170629947,96.39616428260345,1.180315,2.39903,1.2187150000000002
texnet2023xclc,PB28,2.5013681133049923,224.14207441934352,1.194287,2.164929,0.9706419999999998
texnet2022vdqr,PB28,2.673822786405834,228.75452181251578,1.204233,2.16062,0.9563870000000001
texnet2022wprq,PB24,2.7516696077414973,240.13525109819741,1.209125,2.667321,1.4581959999999998
texnet2022wmmr,WB03,2.0237670278855755,157.87827805348854,1.211738,2.522327,1.3105890000000002
texnet2023wtgi,WB05,0.6103982713777324,255.16832667087195,1.212205,2.328575,1.1163699999999999
texnet2023xdmt,PB28,1.5574079509928083,262.4357174569182,1.212323,2.09675,0.8844270000000001
texnet2023jqyr,PB16,2.9838329665624737,63.51253797570398,1.212545,2.112447,0.899902
texnet2024ikxy,PB26,2.945283749291927,212.71619746678186,1.221475,1.902626,0.6811509999999998
texnet2023wteg,WB05,0.5522876428573787,248.08271161624248,1.222116,2.304307,1.0821910000000001
texnet2023wtan,WB05,0.528640073190593,246.78624884555688,1.224421,2.294632,1.070211
texnet2023wtao,WB05,0.5748972530590817,250.1658938608538,1.228113,2.30523,1.0771169999999999
texnet2023wtay,WB05,0.614849714598205,253.99222884392074,1.236082,2.247444,1.0113620000000003
texnet2023xtgp,PB36,2.9030929260975764,314.41610752654486,1.254082,2.188961,0.934879
texnet2023vxbi,PB24,2.4316759061913835,190.11267103060248,1.273692,2.438238,1.164546
texnet2022wnhe,PB24,2.0859121922081165,222.95226579208952,1.273987,2.459025,1.185038
texnet2023winp,PB28,2.220859142239982,244.00622934668633,1.276,2.149898,0.8738979999999998
texnet2022xbkz,WB03,1.3458414000030363,159.22218326951597,1.28072,2.501405,1.220685
texnet2022wxqb,WB03,0.8417397370441803,224.78199001765992,1.281551,2.539874,1.258323
texnet2022vxxn,WB03,1.1004937592331834,139.95717497318668,1.281759,2.504208,1.2224490000000001
texnet2022wngq,PB24,2.091350095569498,226.39220300735903,1.286774,2.444709,1.157935
texnet2022wngj,PB24,2.0694056465584,224.99115599941263,1.292247,2.303053,1.0108059999999999
texnet2022xefn,WB03,1.788518546502502,116.06467672861905,1.292806,2.481726,1.1889200000000002
texnet2023dspm,PB24,2.9070694035139546,285.94703870274697,1.294895,2.502491,1.2075960000000001
texnet2022xekt,WB03,1.7393270217852372,116.16634939670449,1.295484,2.444918,1.1494339999999998
texnet2022wpxz,PB24,2.452155204248398,189.37509463371072,1.297083,2.428253,1.1311700000000002
texnet2023vyqk,PB24,2.418729817788112,190.6243909544471,1.297419,2.355096,1.057677
texnet2023vxeo,PB24,0.6083816848154076,182.860593389255,1.308555,2.363842,1.055287
texnet2022zikj,WB03,1.3283069815057125,274.31938469234586,1.312666,2.555734,1.243068
texnet2022wmmk,WB03,0.6662793618960372,179.25415934993163,1.312699,2.408076,1.0953769999999998
texnet2022wnjl,PB24,2.091879726499421,224.05271415201355,1.314329,2.415044,1.1007149999999999
texnet2022xazi,PB24,2.4097567789521106,253.48575289172177,1.31645,2.812678,1.4962280000000001
texnet2022xcoy,PB24,2.2863975714597173,196.11831818651433,1.317961,2.572521,1.2545600000000001
texnet2023wafw,PB24,2.3988554583644746,191.63745895635373,1.321002,2.449854,1.1288520000000002
texnet2022wmtx,PB24,1.0960888893786809,248.5214450893622,1.323161,2.243297,0.9201360000000001
texnet2023wwjp,PB28,2.879713409507013,82.69214134569106,1.324267,2.199549,0.8752820000000001
texnet2023kaga,PB37,2.89409196127445,66.41513121574883,1.32504,2.346538,1.0214979999999998
texnet2022xbla,WB03,1.4416323541870255,151.7053570362187,1.329256,2.455822,1.126566
texnet2022wnzt,WB03,2.026808517350579,158.00004442665704,1.329554,2.450958,1.121404
texnet2022xdxp,WB03,1.8852527825248742,117.06901870428293,1.329946,2.480167,1.1502209999999997
texnet2023wimr,WB03,2.025312225269215,158.35887287287375,1.331535,3.02444,1.6929049999999999
texnet2023wfgy,WB03,1.2673549457381796,159.3899302689518,1.340603,2.408526,1.0679230000000002
texnet2023bdpp,PB24,2.4329523263007355,190.42522118945075,1.340605,2.491502,1.150897
texnet2022wnnf,PB24,2.7775330285685027,183.23114754491218,1.341852,2.437975,1.0961229999999997
texnet2022xijb,WB03,0.9307132441752682,246.11883255031466,1.345031,2.500944,1.155913
texnet2022xdyl,WB03,1.907559186188583,116.87626450160171,1.348269,2.432714,1.0844449999999999
texnet2023xetw,PB24,2.1233257782335953,223.02686735776152,1.353253,2.542562,1.1893090000000002
texnet2022xyqg,WB03,1.0934581674771893,153.66832178434862,1.353662,2.480807,1.127145
texnet2022wojc,PB24,2.1378060537003973,235.86645918396684,1.354551,2.3376,0.9830490000000001
texnet2022xehm,WB03,1.703683416742508,115.67624836496329,1.355777,2.369168,1.0133910000000002
texnet2024elhc,PB35,2.4076057129337562,80.96599385083512,1.356366,2.383294,1.0269279999999998
texnet2023jysx,PB37,2.8569548354907965,64.6219943401043,1.357532,2.446719,1.089187
texnet2022wuqq,WB03,0.8493226865672212,235.41181805400603,1.358324,2.48322,1.1248960000000001
texnet2023wfgu,WB03,1.0283905500709507,154.17357350564026,1.361382,2.300216,0.9388339999999997
texnet2023vxjo,PB24,2.2428527099655526,197.32660156171167,1.362001,2.402001,1.0399999999999998
texnet2022wpct,WB03,2.4041307975427864,156.13273791490008,1.362184,2.621094,1.2589099999999998
texnet2022wmmm,PB24,1.2396515001816122,268.3632634782078,1.363725,2.326365,0.9626399999999999
texnet2022wyfy,WB03,1.312176367923472,152.0967422719129,1.364315,2.481761,1.1174460000000002
texnet2023vxie,WB03,1.938903424160536,158.22055448184796,1.364331,2.980197,1.615866
texnet2023wfgv,WB03,1.1692587932430292,161.63968879436263,1.365033,2.438365,1.0733320000000002
texnet2022wnie,PB24,2.0753926854025084,222.8648118175781,1.365094,2.401955,1.036861
texnet2023wfgt,WB03,1.2865000577704269,159.9353740146433,1.366091,2.395829,1.029738
texnet2022xbml,WB03,1.1849998383588265,160.7296630763906,1.36921,2.471718,1.102508
texnet2022xdyq,WB03,1.8738046266507955,116.82938001170857,1.370053,2.494368,1.1243150000000002
texnet2023vxav,PB24,2.5543448233588304,188.04995459140227,1.370469,2.352574,0.9821050000000002
texnet2021qaoi,PB33,2.925844331541281,347.46819179399387,1.371318,2.479166,1.1078480000000002
texnet2022xeeg,WB03,1.8362873720502253,116.41433698438637,1.371657,2.399489,1.027832
texnet2022wmrd,PB24,2.9592072612694005,246.86273618700218,1.372165,2.55704,1.1848750000000001
texnet2022xkxq,PB24,2.837635101950974,183.27776892117762,1.372231,2.480152,1.107921
texnet2022wnbq,PB24,2.398032952773601,191.80357491326873,1.373527,2.429141,1.055614
texnet2022wmno,WB03,1.0657220365199034,152.9279298094527,1.374027,2.359103,0.9850760000000001
texnet2022wmml,WB03,2.007279111011717,155.23450362602696,1.374246,2.617652,1.243406
texnet2023fkiw,PB28,1.9736749284523178,129.23702691849616,1.37435,2.339688,0.9653380000000003
texnet2023szax,SA02,2.514791926677843,120.28603601483864,1.374743,2.562487,1.187744
texnet2022xerh,WB03,1.7054775355947993,115.35834129936003,1.374846,2.439373,1.0645269999999998
texnet2023wpdu,PB36,0.42728232110823383,73.07128238413387,1.375185,2.481907,1.106722
texnet2022wmsd,PB24,1.0812518432078837,247.2592795889994,1.376779,2.33365,0.956871
texnet2023eecc,WB03,2.062517873249237,144.04757404848047,1.377527,2.425501,1.0479740000000002
texnet2022xiiz,WB03,0.9443935319897886,249.6051486622133,1.380267,2.566232,1.185965
texnet2022wnps,PB24,2.615156843100959,187.56788071708436,1.380699,2.419461,1.0387620000000002
texnet2022wmmy,WB03,0.8324556727810734,223.1389587115831,1.38091,2.458021,1.077111
texnet2022xkxe,PB24,2.701207214268448,186.39300052761598,1.381357,2.364285,0.9829280000000002
texnet2023mvis,PB28,0.8808277172979841,97.44748483009188,1.381375,2.121577,0.7402019999999998
texnet2022wmmt,WB03,2.4041307975427864,156.13273791490008,1.381391,2.525638,1.1442469999999998
texnet2024diox,PB24,1.6216414437977549,190.9276853253734,1.38281,2.558072,1.175262
texnet2022wojf,PB24,2.165970800380406,234.91327461065646,1.384189,2.450519,1.06633
texnet2023wvol,PB28,0.06417357694915629,227.63493500885707,1.384488,2.79162,1.407132
texnet2023wcyh,PB24,2.3407874619301348,193.11988000719876,1.385156,2.393397,1.0082410000000002
texnet2023ugma,WB03,1.9702256025830238,158.28732377541476,1.385267,2.483905,1.098638
texnet2023wbfh,PB24,2.5431269735178814,185.75993855752685,1.385506,2.45091,1.065404
texnet2023vxee,PB24,2.2962922630270457,195.8746214533022,1.387866,2.390994,1.003128
texnet2022wmwr,WB03,1.9809256881595507,158.20374611961495,1.388387,2.492076,1.103689
texnet2022xdzy,WB03,1.9352349982279473,116.93932100331749,1.389055,2.351889,0.962834
texnet2023winr,WB03,1.7698592647836042,164.06292369883013,1.390022,2.415992,1.02597
texnet2022wmqm,WB03,1.306677351052279,152.76738123039146,1.39274,2.460468,1.067728
texnet2023wdmv,WB03,0.6474937999593313,205.32299752390674,1.3935,2.4335,1.04
texnet2023gbwo,WB03,0.8796114629442183,238.556955395913,1.3935,2.4735,1.08
