event,event,event,event,event,event,loc,loc,loc,loc,loc,loc,loc,loc,loc,method,method,method,method,method,method,method,method,method,method,method,method,creation,creation,creation,creation,creation,creation,picks,picks,picks,picks,picks,picks,picks,picks,picks,picks,picks,picks,mag,mag,mag,mag,mag,mag
id,type,type_certainty,agency,evaluation_mode,evaluation_status,origin_time,longitude,longitude_error,latitude,latitude_error,depth,depth_error,method_id,earth_model_id,horizontal_uncertainty,min_horizontal_uncertainty,max_horizontal_uncertainty,azimuth_max_horizontal_uncertainty,preferred_description,confidence_level,semi_major_axis_length,semi_minor_axis_length,semi_intermediate_axis_length,major_axis_plunge,major_axis_azimuth,major_axis_rotation,agency_id,agency_uri,author,author_uri,creation_time,version,associated_phase_count,used_phase_count,associated_station_count,used_station_count,depth_phase_count,standard_error,azimuthal_gap,secondary_azimuthal_gap,ground_truth_level,minimum_distance,maximum_distance,median_distance,mag,uncertainty,type,method_id,station_count,evaluation_status
1000ecgq,earthquake,,us,manual,reviewed,2018-05-25 22:34:30.580000,-104.0002,0.0349,31.632,0.0144,5000.0,2000.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1700.0,2900.0,5500.0,246.0,confidence ellipsoid,90.0,5500.0,1300.0,2900.0,10.0,246.0,4.0,us,smi:anss.org/metadata/agencyid/us,,,2018-06-09T22:43:41.000000Z,48,32,31,,,,0.91,95.0,101.0,,0.284,,,2.7,0.077,ML,1.0,22,reviewed
1000e91x,earthquake,,us,manual,reviewed,2018-05-20 19:34:15.000000,-104.5315,0.0232,31.6379,0.0351,5000.0,2000.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,2900.0,3300.0,5900.0,356.0,confidence ellipsoid,90.0,5900.0,2900.0,3300.0,2.0,356.0,291.0,us,smi:anss.org/metadata/agencyid/us,,,2018-08-09T15:43:56.000000Z,40,28,19,,,,0.69,70.0,113.0,,0.627,,,2.8,0.109,ML,1.0,22,reviewed
1000e7yn,earthquake,,us,manual,reviewed,2018-05-18 12:04:05.120000,-104.4865,0.019,31.6175,0.0171,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1900.0,2900.0,3200.0,323.0,confidence ellipsoid,90.0,3200.0,2600.0,2900.0,36.0,323.0,183.0,us,smi:anss.org/metadata/agencyid/us,,,2018-08-09T14:09:06.000000Z,36,39,26,,,,0.33,68.0,113.0,,0.583,,,2.7,0.091,ML,1.0,46,reviewed
1000e7ue,earthquake,,us,manual,reviewed,2018-05-18 06:34:15.000000,-104.5026,0.0158,31.646,0.0243,5000.0,1600.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,2000.0,2900.0,4200.0,11.0,confidence ellipsoid,90.0,4200.0,1600.0,2900.0,0.0,11.0,38.0,us,smi:anss.org/metadata/agencyid/us,,,2018-06-27T04:56:16.000000Z,37,25,25,,,,0.58,69.0,112.0,,0.608,,,2.6,0.128,ML,1.0,18,reviewed
texnet2018jqoa,earthquake,known,TX,manual,final,2018-05-18 03:06:12.188942,-104.519,0.8409948571380206,31.709,0.9067842548941273,6125.5,2633.8431508655026,smi:org.gfz-potsdam.de/geofon/NonLinLoc,smi:org.gfz-potsdam.de/geofon/PB1D-20170918-topoLV,1533.185216894561,1080.3990792322625,1533.185216894561,38.54321343909214,,,4957219.791648566,1321289.227072662,1888776.2525274514,3.587183423248533,96.39739394976574,92.59230550753368,TX,,Kate,,2024-09-19T23:19:04.325605Z,,26,14,,13,,0.3,81.0,147.0,-,0.5,0.9,0.9,1.5,0.2,ML,trimmed_mean,4,confirmed
70006s7r,earthquake,,us,manual,reviewed,2019-12-29 16:29:20.601000,-104.1652,0.0085,31.7491,0.009,5000.0,1800.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,900.0,1600.0,2800.0,266.0,confidence ellipsoid,90.0,2800.0,800.0,1600.0,71.0,266.0,106.0,us,smi:anss.org/metadata/agencyid/us,,,2020-02-04T19:31:00.000000Z,57,79,32,,,,0.42,51.0,98.0,GT5,0.118,,,2.8,0.064,ML,1.0,66,reviewed
70006s47,earthquake,,us,manual,reviewed,2019-12-29 06:08:46.844000,-104.3129,0.019,31.6439,0.0126,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1000.0,2900.0,3400.0,54.0,confidence ellipsoid,90.0,3400.0,600.0,2900.0,8.0,54.0,1.0,us,smi:anss.org/metadata/agencyid/us,,,2020-01-18T11:00:23.000000Z,21,41,22,,,,0.29,67.0,107.0,,0.375,,,2.9,0.079,mb_Lg,1.0,61,reviewed
70006pgj,earthquake,,us,manual,reviewed,2019-12-21 17:06:51.563000,-104.2234,0.018,31.6578,0.0153,7440.0,1600.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1700.0,1823.0,2627.0,48.0,confidence ellipsoid,90.0,3600.0,500.0,2600.0,38.0,250.0,119.0,us,smi:anss.org/metadata/agencyid/us,,,2020-01-29T15:31:25.000000Z,35,89,51,,,,0.4,56.0,104.0,,0.32,,,2.8,0.097,ML,1.0,80,reviewed
60006sme,earthquake,,us,manual,reviewed,2019-12-17 11:16:58.266000,-104.1943,0.0106,31.6189,0.0126,5000.0,1800.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1100.0,2200.0,2800.0,321.0,confidence ellipsoid,90.0,2800.0,1200.0,2200.0,80.0,321.0,65.0,us,smi:anss.org/metadata/agencyid/us,,,2020-01-19T16:44:14.000000Z,36,111,40,,,,0.25,55.0,106.0,GT5,0.179,,,3.8,0.062,ML,1.0,82,reviewed
60006ps5,earthquake,,us,manual,reviewed,2019-12-10 13:47:42.909000,-104.5632,0.0095,31.7288,0.0117,5000.0,1300.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1100.0,2000.0,2300.0,229.0,confidence ellipsoid,90.0,2300.0,900.0,2000.0,54.0,229.0,125.0,us,smi:anss.org/metadata/agencyid/us,,,2019-12-29T20:51:33.000000Z,48,99,33,,,,0.43,81.0,118.0,GT5,0.227,,,2.5,0.063,ML,1.0,56,reviewed
70006csf,earthquake,,us,manual,reviewed,2019-11-25 17:22:46.952000,-104.3124,0.0137,31.686,0.0099,5000.0,1700.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1200.0,1900.0,2700.0,304.0,confidence ellipsoid,90.0,2700.0,1500.0,1900.0,71.0,304.0,117.0,us,smi:anss.org/metadata/agencyid/us,,,2019-12-11T19:21:31.000000Z,48,82,32,,,,0.45,67.0,115.0,GT5,0.088,,,3.1,0.061,ML,1.0,75,reviewed
70006bzr,earthquake,,us,manual,reviewed,2019-11-22 22:49:08.130000,-104.2019,0.0106,31.6464,0.0108,5000.0,1800.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1100.0,2000.0,2900.0,298.0,confidence ellipsoid,90.0,2900.0,1100.0,2000.0,68.0,298.0,34.0,us,smi:anss.org/metadata/agencyid/us,,,2019-11-22T22:57:33.000000Z,26,64,26,,,,0.33,62.0,114.0,,0.321,,,2.9,0.066,ML,1.0,70,reviewed
700068w5,earthquake,,us,manual,reviewed,2019-11-16 18:32:47.358000,-104.3342,0.0148,31.6441,0.0108,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1300.0,2200.0,2900.0,339.0,confidence ellipsoid,90.0,2900.0,1900.0,2200.0,85.0,339.0,106.0,us,smi:anss.org/metadata/agencyid/us,,,2019-12-17T22:38:08.000000Z,46,101,67,,,,0.84,68.0,108.0,GT5,0.132,,,2.6,0.085,ML,1.0,80,reviewed
700068qn,earthquake,,us,manual,reviewed,2019-11-16 03:53:47.693000,-104.3092,0.0222,31.6843,0.0108,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1600.0,2800.0,3200.0,262.0,confidence ellipsoid,90.0,3200.0,1700.0,2800.0,18.0,262.0,170.0,us,smi:anss.org/metadata/agencyid/us,,,2019-12-13T02:03:39.000000Z,44,76,45,,,,0.46,58.0,105.0,GT5,0.089,,,2.4,0.077,ML,1.0,48,reviewed
600068ke,earthquake,,us,manual,reviewed,2019-11-07 07:51:21.430000,-104.3072,0.0148,31.6564,0.0108,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1300.0,2200.0,2900.0,225.0,confidence ellipsoid,90.0,2900.0,1800.0,2200.0,87.0,225.0,39.0,us,smi:anss.org/metadata/agencyid/us,,,2019-11-20T07:25:11.000000Z,36,76,62,,,,0.45,67.0,117.0,GT5,0.117,,,2.8,0.085,mb_Lg,1.0,57,reviewed
600068iu,earthquake,,us,manual,reviewed,2019-11-07 04:04:40.076000,-104.3221,0.019,31.6461,0.0117,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1500.0,2800.0,3000.0,251.0,confidence ellipsoid,90.0,3000.0,1900.0,2800.0,52.0,251.0,179.0,us,smi:anss.org/metadata/agencyid/us,,,2019-12-03T02:32:07.000000Z,53,170,51,,,,0.87,60.0,108.0,GT5,0.128,,,3.6,0.08,Mwr,1.0,15,reviewed
texnet2019vmrx,earthquake,known,TX,manual,final,2019-11-02 18:55:30.695778,-104.031,1.041779404781547,31.719,0.8384805846149026,10022.0,1366.8984408755296,smi:org.gfz-potsdam.de/geofon/NonLinLoc,smi:org.gfz-potsdam.de/geofon/PB1D-20170918-topoLV,1612.7226371004758,1229.7723120524856,1612.7226371004758,71.93485927753818,,,2735547.8249074877,1385459.925284834,1872340.9511685153,25.51748147906388,168.59150096099575,107.88421051476075,TX,,Fernando,,2024-09-05T20:15:03.799562Z,,37,22,,16,,0.3,61.0,96.0,-,0.0,1.0,0.9,1.3,0.1,ML,trimmed_mean,12,confirmed
7000626z,earthquake,,us,manual,reviewed,2019-11-01 23:28:15.382000,-104.2812,0.0158,31.646,0.0117,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1400.0,2400.0,2900.0,152.0,confidence ellipsoid,90.0,2900.0,1900.0,2400.0,88.0,152.0,111.0,us,smi:anss.org/metadata/agencyid/us,,,2019-11-03T01:53:57.000000Z,65,56,38,,,,0.8,66.0,124.0,,0.357,,,2.5,0.071,ML,1.0,50,reviewed
70005wc4,earthquake,,us,manual,reviewed,2019-10-20 13:05:41.908000,-104.2934,0.0158,31.644,0.018,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1700.0,2900.0,3100.0,18.0,confidence ellipsoid,90.0,3100.0,2200.0,2900.0,18.0,18.0,177.0,us,smi:anss.org/metadata/agencyid/us,,,2019-10-29T14:04:45.000000Z,29,42,32,,,,0.37,59.0,107.0,,0.455,,,2.5,0.059,ML,1.0,38,reviewed
