API_UWI,API_UWI_12,WellID,LogId,DocumentName,FileExtension,DocumentType,LogType,LogTypeCode,TopDepth,BaseDepth,DocCategory,Description,NumberOfCurves,DepthIndexType,FileSize,DateUpdated,has_resistivity,has_gamma_ray,has_porosity_nphi,has_caliper,has_density,has_gas,has_porosity_dphi,has_porosity,has_lithology,has_sonic_transit_time,has_spontaneous_potential,has_photoelectric_effect,has_dipmeter,has_porosity_sphi,has_spectral_gamma_ray,has_total_organic_carbon,has_rate_of_penetration
42-389-30414,42-389-30414-00,840420002949446,812593495,42-389-30414-00-00_EC_RS0032948212.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,237.00,13872.00,LAS,"CALI,DT,GR,RESD,RESS",5,MD,2512315,2023-11-04,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-30414,42-389-30414-00,840420002949446,813716329,42-389-30414-00-00_ECP_RS0041768255.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,237.00,13872.00,LAS,"CALI_E,DT_E,GR_E,RESD_E,RESS_E",20,MD,8650597,2023-11-21,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
42-109-32303,42-109-32303-00,840420002600913,810029741,42-109-32303-00-00_DIG_RS0022584440.LAS,LAS,DIGITAL_LOG,RAW,100,9474.00,14929.00,LAS,"CALX,CNC,CPZC,DT,GR,K,KTH,PE,PORA,PRZC,RD,RMLL,RS,SPSB,TEN,TH,TT,U,ZCOR,ZDNC",20,,3868999,2019-01-23,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0
42-109-32303,42-109-32303-00,840420002600913,811842109,42-109-32303-00-00_ECP_RS0031561438.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,9471.00,14906.00,LAS,"CALI_E,DPHI_265_E,DPHI_271_E,DRHO_E,DT_E,GR_E,NPHI_E,PE_E,RESD_E,RESS_E,RHOB_E,SP_E",45,MD,7531172,2023-11-20,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0
42-109-32303,42-109-32303-00,840420002600913,811035889,42-109-32303-00-00_EC_RS0025672338.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,9474.00,14906.00,LAS,"CALI__A,DPHI__A,DRHO__A,DT__A,GR__A,NPHI__A,PE__A,RESS__A,RHOB__A,SGR_TH_PPM__A,SGR_US__A,SGR_U_PPM__A,SPHI__A,SP__A",14,MD,2472163,2023-11-03,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0
42-109-33144,42-109-33144-00,840420004646650,816025166,42-109-33144-00-00_EC_RS0051224637.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,8880.00,14320.00,LAS,"DT,DT__01,GR,GR__01,NPHI,NPHI__01,PE,PE__01,RESD_LL,RESD_LL__01,RESS_LL,RESS_LL__01,RHOB,RHOB__01,SPHI",15,MD,2638975,2023-11-03,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
42-109-33144,42-109-33144-00,840420004646650,816028341,42-109-33144-00-00_ECP_RS0051231458.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,8880.00,14320.00,LAS,"DPHI_265_E,DPHI_271_E,DT_E,GR_E,NPHI_E,PE_E,RESD_LL_E,RESS_LL_E,RHOB_E",33,MD,5578333,2023-11-20,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0
42-109-33144,42-109-33144-00,840420004646650,814144157,42-109-33144-00-00_DIG_RS0044408038.LAS,LAS,DIGITAL_LOG,RAW,100,8880.00,14320.00,LAS,"CCL,CRNF,DTC_CHI,DTC_OH,GR_CHI,GR_OH,LLD_CHI,LLD_OH,LLS_CHI,LLS_OH,MSFL_CHI,MSFL_OH,NPHI_CHI,NPHI_OH,PE_CHI,PE_OH,RHOB_CHI,RHOB_OH,RINC,SGF,SPHI_CHI",21,,2126287,2020-10-27,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
42-109-33224,42-109-33224-00,840420004679273,816028427,42-109-33224-00-00_ECP_RS0051231582.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,8400.00,13888.50,LAS,"DPHI_265_E,DPHI_271_E,DT_E,GR_E,NPHI_E,PE_E,RESD_E,RESM_E,RESS_E,RHOB_E",37,MD,6287000,2023-11-20,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0
42-109-33224,42-109-33224-00,840420004679273,815887743,42-109-33224-00-00_EC_RS0048298071.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,8400.00,13888.50,LAS,"DT,DT__01,GR,GR__01,NPHI,NPHI__01,PE,PE__01,RESD_90,RESD_90__01,RESM_30,RESM_30__01,RESS_10,RESS_10__01,RHOB,RHOB__01,SPHI",17,MD,2992397,2023-11-03,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
