ev_id,type,type_certainty,agency,evaluation_mode,evaluation_status,origin_time,longitude,longitude_error,latitude,latitude_error,depth,depth_error,method_id,earth_model_id,horizontal_uncertainty,min_horizontal_uncertainty,max_horizontal_uncertainty,azimuth_max_horizontal_uncertainty,semi_major_axis_length,semi_minor_axis_length,semi_intermediate_axis_length,major_axis_plunge,major_axis_azimuth,major_axis_rotation,associated_phase_count,used_phase_count,associated_station_count,used_station_count,depth_phase_count,standard_error,azimuthal_gap,secondary_azimuthal_gap,ground_truth_level,minimum_distance,maximum_distance,median_distance,magnitude,uncertainty,type,method_id,station_count,evaluation_status
1000av65,earthquake,,us,manual,reviewed,2017-09-27 09:16:23.100000,-103.2141,0.0168,31.1808,0.018,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1700.0,2900.0,3500.0,134.0,3500.0,1400.0,2900.0,27.0,134.0,329.0,21,16,,,,0.28,161.0,200.0,,0.59,,,2.8,0.18,mb_Lg,1.0,10,reviewed
2000avaw,earthquake,,us,manual,reviewed,2017-09-27 10:57:32.110000,-103.2798,0.0263,31.1698,0.0189,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,2200.0,2900.0,4200.0,121.0,4200.0,2600.0,2900.0,0.0,121.0,180.0,20,17,,,,0.23,77.0,101.0,,0.541,,,2.6,0.106,mb_Lg,1.0,25,reviewed
1000avcx,earthquake,,us,manual,reviewed,2017-10-21 21:50:34.700000,-103.2981,0.0294,31.1485,0.027,1200.0,4800.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,2600.0,2411.0,4899.0,137.0,8200.0,2500.0,4500.0,58.0,126.0,25.0,34,27,,,,0.22,74.0,87.0,,0.497,,,3.1,0.074,mb_Lg,1.0,47,reviewed
1000aved,earthquake,,us,manual,reviewed,2017-10-22 01:57:19.770000,-103.356,0.0452,31.1699,0.027,5000.0,2000.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,3100.0,3100.0,7400.0,121.0,7400.0,2900.0,3100.0,0.0,121.0,193.0,22,22,,,,0.58,58.0,90.0,,0.481,,,2.7,0.147,mb_Lg,1.0,15,reviewed
1000aveu,earthquake,,us,manual,reviewed,2017-10-22 02:53:14.690000,-103.3354,0.0442,31.1785,0.0288,5000.0,2000.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,3300.0,3500.0,7200.0,122.0,7200.0,3000.0,3500.0,0.0,122.0,267.0,42,41,,,,0.66,57.0,76.0,,0.493,,,3.3,0.077,mb_Lg,1.0,51,reviewed
1000awi8,earthquake,,us,manual,reviewed,2017-10-24 23:54:52.380000,-103.3131,0.0284,31.1957,0.0243,5000.0,2000.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,2600.0,3500.0,4600.0,315.0,4600.0,2900.0,3500.0,1.0,315.0,240.0,27,27,,,,0.36,56.0,87.0,,0.493,,,2.6,0.117,mb_Lg,1.0,21,reviewed
1000ayf4,earthquake,,us,manual,reviewed,2017-10-30 02:23:44.340000,-103.2331,0.0252,31.1543,0.0171,2210.0,7500.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,2100.0,2421.0,3129.0,75.0,11600.0,2600.0,3400.0,81.0,224.0,47.0,38,38,,,,0.73,52.0,83.0,,0.444,,,2.6,0.114,mb_Lg,1.0,27,reviewed
texnet2017vscb,earthquake,known,TX,manual,final,2017-11-05 17:44:19.143546,-103.321,1.2057586565824714,31.182,1.3818414512934682,7766.1,2722.50966869713,smi:org.gfz-potsdam.de/geofon/NonLinLoc,smi:org.gfz-potsdam.de/geofon/PB1D-20170918-topoLV,2095.672363447389,1828.616617633823,2095.672363447389,179.71835634580253,5124702.281283721,2261552.6545214476,2580690.466716255,175.97323374774547,-66.27707130675509,88.31180232461232,27,10,,8,,0.3,70.0,131.0,-,0.3,0.5,0.5,1.8,0.0,ML,mean,3,confirmed
2000blfb,earthquake,,us,manual,reviewed,2017-11-10 14:44:55.650000,-103.3065,0.0147,31.1647,0.0099,1150.0,7800.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1100.0,1083.0,2048.0,58.0,11900.0,1200.0,2400.0,88.0,325.0,93.0,26,26,,,,0.44,76.0,101.0,,0.498,,,3.0,0.088,mb_Lg,1.0,41,reviewed
2000c4sj,earthquake,,us,manual,reviewed,2017-12-15 09:53:41.180000,-103.2814,0.0189,31.1384,0.0126,5000.0,2000.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1500.0,3000.0,3100.0,121.0,3100.0,1700.0,3000.0,23.0,121.0,182.0,41,18,,,,0.81,60.0,98.0,,0.488,,,3.3,0.045,ML,1.0,64,reviewed
