Depth (km),VP (km/s)
-1.2,6.013494679283815
-1.0999999999999999,6.111277999927826
-0.9999999999999998,6.095999804928007
-0.8999999999999997,6.128049504452311
-0.7999999999999996,3.845716974480491
-0.6999999999999995,3.8367374477910277
-0.5999999999999994,4.259213837712202
-0.49999999999999933,3.776296432420651
-0.39999999999999925,4.032439718139824
-0.29999999999999916,4.598810921367577
-0.19999999999999907,4.5765420740236475
-0.09999999999999898,4.42984610100624
1.1102230246251565e-15,4.230219286447485
0.1000000000000012,4.694141431083156
0.2000000000000013,4.82103016697088
0.3000000000000014,4.435970812601169
0.40000000000000147,3.6104759554057497
0.5000000000000016,4.374345071634213
0.6000000000000016,4.375067194586548
0.7000000000000017,4.2585889964986885
0.8000000000000018,4.4851893008890364
0.9000000000000019,4.322208675255398
1.000000000000002,4.319360460369018
1.100000000000002,4.211835333819559
1.2000000000000022,4.273695881189014
1.3000000000000023,4.338357956450366
1.4000000000000024,4.467635894907315
1.5000000000000024,4.050040729749535
1.6000000000000025,4.696637697542718
1.7000000000000026,4.833951755684349
1.8000000000000027,4.95900023178446
1.9000000000000028,4.8028361815793446
2.0000000000000027,4.773164917160111
2.100000000000003,4.729907844707332
2.200000000000003,4.78692062499396
2.3000000000000034,4.472913704004977
2.400000000000003,4.474522383569922
2.5000000000000036,4.091989134965628
2.600000000000003,3.932979249799051
2.7000000000000037,4.719361970689686
2.8000000000000034,3.5197929498712077
2.900000000000003,3.7226571311874217
3.000000000000003,6.0
10.0,6.0
