Depth (km),VP (km/s)
-1.2,3.823141928459082
-1.0999999999999999,4.073885859106396
-0.9999999999999998,4.047889382206451
-0.8999999999999997,4.146008046146113
-0.7999999999999996,4.072933171674631
-0.6999999999999995,4.113138160509564
-0.5999999999999994,5.385684546535882
-0.49999999999999933,4.250898896439126
-0.39999999999999925,4.939833230706101
-0.29999999999999916,4.815204478827275
-0.19999999999999907,4.8751228394256145
-0.09999999999999898,5.060852943802622
1.1102230246251565e-15,5.316031745854246
0.1000000000000012,4.924430540384845
0.2000000000000013,4.648538101598366
0.3000000000000014,4.258083353834143
0.40000000000000147,5.98738890885051
0.5000000000000016,5.681267292570369
0.6000000000000016,5.666480577177919
0.7000000000000017,5.620142363927799
0.8000000000000018,4.74424795297955
0.9000000000000019,3.879293762920168
1.000000000000002,3.999422527540685
1.100000000000002,6.0
10.0,6.0
