ev_id,longitude,latitude,depth,S-P,Author
texnet2021lexe,-104.24535,31.5948,6.138,False,TexNet HighRes
texnet2021lgtl,-104.24005,31.59448,6.228,False,TexNet HighRes
texnet2021lhhq,-104.18114,31.6334,7.251,False,TexNet HighRes
texnet2021lkgt,-104.24181,31.59605,6.092,False,TexNet HighRes
texnet2021lhzi,-104.10296,31.61361,6.869,False,TexNet HighRes
texnet2021lkfn,-104.39924,31.67725,6.31,False,TexNet HighRes
texnet2021ljwl,-104.37538,31.67267,6.105,False,TexNet HighRes
texnet2021ljve,-103.86785,31.43676,4.281,False,TexNet HighRes
texnet2021ljts,-104.38403,31.67678,6.175,False,TexNet HighRes
texnet2021ljsm,-104.0944,31.6169,6.012,False,TexNet HighRes
texnet2021ljkm,-104.30415,31.65366,6.885,False,TexNet HighRes
texnet2021ljhz,-104.48505,31.6676,6.063,False,TexNet HighRes
texnet2021ljfu,-104.38634,31.67725,6.168,False,TexNet HighRes
texnet2021lizs,-104.38638,31.67946,5.74,False,TexNet HighRes
texnet2021liwz,-104.38599,31.6783,6.003,False,TexNet HighRes
texnet2021liuz,-104.10328,31.61531,6.835,False,TexNet HighRes
texnet2021liuh,-104.54978,31.65815,6.808,False,TexNet HighRes
texnet2021liry,-104.38209,31.67903,5.696,False,TexNet HighRes
texnet2021lipv,-104.38381,31.67764,5.875,False,TexNet HighRes
texnet2021lioo,-104.38274,31.68034,5.652,False,TexNet HighRes
texnet2021liol,-104.38352,31.68076,5.604,False,TexNet HighRes
texnet2021lins,-104.38197,31.67948,5.688,False,TexNet HighRes
texnet2021linq,-104.38432,31.67837,5.825,False,TexNet HighRes
texnet2021link,-104.38179,31.67761,5.83,False,TexNet HighRes
texnet2021lima,-104.56241,31.72603,6.907,False,TexNet HighRes
texnet2021liif,-104.09872,31.61599,6.541,False,TexNet HighRes
texnet2021lihr,-104.38239,31.67904,5.728,False,TexNet HighRes
texnet2021lias,-104.5483,31.65828,6.729,False,TexNet HighRes
texnet2021lskw,-104.29961,31.65322,7.831,False,TexNet HighRes
texnet2021ltga,-104.53724,31.66436,6.505,False,TexNet HighRes
texnet2021levq,-104.2451,31.59444,6.137,False,TexNet HighRes
texnet2021mfdd,-104.40186,31.67874,6.182,False,TexNet HighRes
texnet2021mezl,-104.45421,31.67194,6.352,False,TexNet HighRes
texnet2021mevv,-104.40723,31.67967,6.07,False,TexNet HighRes
texnet2021meuh,-104.40229,31.6788,6.106,False,TexNet HighRes
texnet2021meug,-104.40375,31.67912,6.19,False,TexNet HighRes
texnet2021metg,-104.37106,31.66852,6.843,False,TexNet HighRes
texnet2021mesj,-104.29426,31.67746,7.391,False,TexNet HighRes
texnet2021meow,-104.2251,31.67815,6.748,False,TexNet HighRes
texnet2021mejz,-104.32268,31.66139,6.273,False,TexNet HighRes
texnet2021mefl,-104.3729,31.66996,6.766,False,TexNet HighRes
texnet2021mduf,-104.17947,31.6977,6.628,False,TexNet HighRes
texnet2021mdtg,-104.55897,31.72544,6.721,False,TexNet HighRes
texnet2021mdmr,-103.98918,31.59456,6.767,False,TexNet HighRes
texnet2021mdml,-104.37522,31.66982,6.965,False,TexNet HighRes
texnet2021mdla,-104.24683,31.63321,6.282,False,TexNet HighRes
texnet2021mdhi,-104.40235,31.67759,6.218,False,TexNet HighRes
texnet2021mdge,-104.21456,31.64657,8.259,False,TexNet HighRes
texnet2021mcul,-104.20682,31.6289,7.914,False,TexNet HighRes
texnet2021mcpu,-104.16292,31.56517,7.426,False,TexNet HighRes
texnet2021mcnl,-104.34267,31.62048,7.015,False,TexNet HighRes
texnet2021mchx,-104.45126,31.67266,5.428,False,TexNet HighRes
texnet2021mces,-104.10139,31.6165,6.439,False,TexNet HighRes
texnet2021mbls,-104.09619,31.61676,6.067,False,TexNet HighRes
texnet2021mblo,-104.53003,31.71806,6.027,False,TexNet HighRes
texnet2021mezo,-104.17962,31.69724,6.769,False,TexNet HighRes
texnet2021mfkr,-104.41315,31.6806,5.812,False,TexNet HighRes
texnet2021mbhz,-104.24782,31.63345,6.504,False,TexNet HighRes
texnet2021mfld,-104.42593,31.69888,6.938,False,TexNet HighRes
texnet2021mhrq,-104.37879,31.67569,6.438,False,TexNet HighRes
texnet2021mhrb,-104.25164,31.59581,5.634,False,TexNet HighRes
texnet2021mhlm,-104.36889,31.67008,6.053,False,TexNet HighRes
texnet2021mhlj,-104.36624,31.65956,8.214,False,TexNet HighRes
