Depth[km],Vp_mean[km/s]
-0.5,6.368961366106014
-0.4,5.410384997300138
-0.30000000000000004,4.014173607545653
-0.20000000000000007,3.8675383182764635
-0.10000000000000009,4.251584162562523
-1.1102230246251565e-16,4.386626019895211
0.09999999999999987,4.085032048891966
0.19999999999999984,4.434350846879363
0.2999999999999998,4.3700364445467965
0.3999999999999998,4.56485093096974
0.4999999999999998,4.7371369587123
0.5999999999999996,4.771315107434541
0.6999999999999997,4.860172348158342
0.7999999999999998,4.83198605156017
0.8999999999999997,4.588209599730531
0.9999999999999996,4.2653673210689105
1.0999999999999996,4.505615147632378
1.1999999999999997,4.565253802520222
1.2999999999999996,4.626386454113472
1.3999999999999995,4.629298120231826
1.4999999999999996,4.67626698729905
1.5999999999999996,4.597328707520569
1.6999999999999993,4.517218002954574
1.7999999999999994,4.320847360772129
1.8999999999999995,4.182492521656881
1.9999999999999996,4.203920918989422
2.0999999999999996,3.9646528809178863
2.1999999999999993,4.184190273424515
2.2999999999999994,4.3502430885488605
2.3999999999999995,4.429894621842891
2.499999999999999,4.553886972209158
2.599999999999999,4.562461113762261
2.6999999999999993,4.723467118381553
2.7999999999999994,4.746262294385436
2.8999999999999995,4.745385423014922
2.999999999999999,4.709273687196922
3.099999999999999,4.457410123805162
3.1999999999999993,4.198571766588429
3.299999999999999,4.246584616976189
3.399999999999999,3.838140421169475
3.499999999999999,3.6923388122578125
3.5999999999999988,3.4432669024286437
3.6999999999999993,4.118714082398905
3.799999999999999,5.598417577504884
3.8999999999999986,5.8278604796804885
3.999999999999999,5.816183234510019
4.099999999999999,6.0
10.0,6.0
