pick_id,arrival_time,probability,phasehint,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name
20221116.213043.39-P-TX.PB38.00.HH,2022-11-16 21:30:43.390000,0.02,P,TX,PB38,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:30:43.220000,2022-11-16 21:30:46.790000,0.03,12.4,31.72972,-104.426634,1240.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB38/TX.PB38.00.HH2__20221116T213000Z__20221116T213500Z.mseed
20221116.213043.61-P-TX.PB36.00.HH,2022-11-16 21:30:43.610000,0.04,P,TX,PB36,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:30:43.390000,2022-11-16 21:30:46.830000,0.05,14.6,31.680262,-104.425899,1218.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB36/TX.PB36.00.HHZ__20221116T213000Z__20221116T213500Z.mseed
20221116.213045.45-S-TX.PB38.00.HH,2022-11-16 21:30:45.450000,0.03,S,TX,PB38,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:30:43.220000,2022-11-16 21:30:46.790000,0.03,9.2,31.72972,-104.426634,1240.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB38/TX.PB38.00.HH2__20221116T213000Z__20221116T213500Z.mseed
20221116.213045.51-S-TX.PB36.00.HH,2022-11-16 21:30:45.510000,0.07,S,TX,PB36,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:30:43.390000,2022-11-16 21:30:46.830000,0.05,6.4,31.680262,-104.425899,1218.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB36/TX.PB36.00.HHZ__20221116T213000Z__20221116T213500Z.mseed
20221116.213246.10-P-TX.PB24.00.HH,2022-11-16 21:32:46.105000,0.29,P,TX,PB24,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:32:44.885000,2022-11-16 21:32:48.215000,0.13,22.1,31.61979,-104.01776,997.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB24/TX.PB24.00.HHE__20221116T213000Z__20221116T213459Z.mseed
20221116.213246.53-P-TX.PB40.00.HH,2022-11-16 21:32:46.530000,0.26,P,TX,PB40,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:32:45.460000,2022-11-16 21:32:49.100000,0.21,21.6,31.6419935,-103.9339588,935.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB40/TX.PB40.00.HHZ__20221116T213000Z__20221116T213500Z.mseed
20221116.213246.65-P-TX.PB20.00.HH,2022-11-16 21:32:46.651000,0.05,P,TX,PB20,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:32:45.461000,2022-11-16 21:32:49.011000,0.05,37.4,31.6281,-104.06179,1022.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB20/TX.PB20.00.HHE__20221116T213000Z__20221116T213500Z.mseed
20221116.213246.67-P-TX.PB34.00.HH,2022-11-16 21:32:46.670000,0.21,P,TX,PB34,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:32:45.610000,2022-11-16 21:32:49.560000,0.13,36.5,31.676667,-104.037778,969.3,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB34/TX.PB34.00.HH1__20221116T213000Z__20221116T213500Z.mseed
20221116.213246.89-P-TX.PB23.00.HH,2022-11-16 21:32:46.899000,0.77,P,TX,PB23,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:32:46.439000,2022-11-16 21:32:49.439000,0.63,33.1,31.66404,-104.07276,1005.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB23/TX.PB23.00.HHN__20221116T212959Z__20221116T213459Z.mseed
20221116.213246.93-P-TX.PB25.00.HH,2022-11-16 21:32:46.939000,0.07,P,TX,PB25,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:32:46.679000,2022-11-16 21:32:50.059000,0.06,25.8,31.58308,-104.07019,1037.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB25/TX.PB25.00.HHZ__20221116T212959Z__20221116T213459Z.mseed
