Latitude,Longitude,Elevation
32.00107849151923,-105.07482200584002,0.6144768
32.001584025190866,-105.0642943951224,0.6144768
32.00208869232462,-105.05376652045372,0.6144768
32.00259249284512,-105.04323838228086,0.6135624
32.00309542667704,-105.03270998105077,0.6096
32.00359749374525,-105.02218131721048,0.6096
32.00409869397469,-105.01165239120711,0.6096
32.00459902729046,-105.0011232034878,0.6132576
32.00509849361777,-104.99059375449977,0.6193536
32.00559709288198,-104.98006404469037,0.6266688
32.00609482500852,-104.96953407450694,0.635508
32.006591689923006,-104.95900384439693,0.6458712
32.00708768755115,-104.94847335480789,0.6574536
32.0075828178188,-104.93794260618733,0.67056
32.008077080651915,-104.92741159898297,0.6848856
32.00857047597661,-104.9168803336425,0.7004304
32.0090630037191,-104.90634881061368,0.7171944
32.009554663805744,-104.89581703034442,0.7351776
32.010045456163,-104.8852849932826,0.7546848
32.01053538071748,-104.87475269987621,0.775716
32.0110244373959,-104.86422015057335,0.7991856
32.011512626125125,-104.85368734582212,0.826008
32.01199994683214,-104.84315428607073,0.854964
32.01248639944404,-104.83262097176741,0.8857488
32.01297198388808,-104.82208740336054,0.9183624
32.013456700091595,-104.81155358129848,0.9534144
32.01394054798208,-104.80101950602972,0.9933432
32.014423527487146,-104.79048517800278,1.0384536
32.014905638534536,-104.77995059766626,1.0856977
32.015386881052116,-104.76941576546882,1.1335512
32.01586725496787,-104.75888068185921,1.1820143
32.01634676020993,-104.74834534728625,1.2307824
32.01682539670654,-104.73780976219876,1.2813792
32.01730316438606,-104.7272739270457,1.3316712
32.01778006317699,-104.71673784227607,1.382268
32.01825609300797,-104.70620150833894,1.43256
32.01873125380775,-104.69566492568345,1.4831568
32.019205545505194,-104.68512809475878,1.5337536
32.01967896802932,-104.67459101601419,1.5843503
32.02015152130926,-104.66405368989903,1.635252
32.02062320527427,-104.65351611686272,1.6861537
32.02109401985373,-104.64297829735466,1.73736
32.021563964977176,-104.63244023182443,1.7885664
32.02203304057423,-104.62190192072161,1.8403825
32.022501246574656,-104.61136336449586,1.8918936
32.02296858290836,-104.60082456359689,1.9440144
32.02343504950536,-104.59028551847452,1.9961352
32.0239006462958,-104.57974622957855,2.0485609
32.02436537320996,-104.56920669735896,2.1012912
32.02482923017825,-104.55866692226572,2.1543264
32.02529221713118,-104.54812690474883,2.2076664
32.025754333999416,-104.53758664525846,2.2613113
32.026215580713746,-104.52704614424476,2.3155656
32.02667595720508,-104.51650540215797,2.36982
32.02713546340446,-104.50596441944843,2.424379
32.02759409924305,-104.49542319656646,2.4792433
32.028051864652134,-104.48488173396254,2.534412
32.02850875956315,-104.47434003208714,2.5895808
32.028964783907625,-104.46379809139081,2.6447496
32.02941993761724,-104.45325591232421,2.6996136
32.02987422062382,-104.442713495338,2.7535632
32.03032763285926,-104.43217084088296,2.8081224
32.030780174255646,-104.42162794940987,2.8654249
32.03123184474514,-104.41108482136963,2.927604
32.03168264426007,-104.40054145721318,2.9967935
32.03213257273289,-104.38999785739152,3.0650687
32.032581630096125,-104.37945402235572,3.1144464
32.033029816282514,-104.3689099525569,3.1315153
32.03347713122485,-104.35836564844627,3.217164
32.033923574856104,-104.34782111047507,3.2732472
32.034369147109345,-104.33727633909461,3.3143952
32.034813847917775,-104.32673133475629,3.3567624
32.03525767721473,-104.31618609791155,3.3991296
32.03570063493368,-104.30564062901188,3.4418015
32.036142721008204,-104.29509492850883,3.4841688
32.03658393537202,-104.28454899685407,3.526536
32.03702427795898,-104.27400283449926,3.5685985
32.037463748703054,-104.26345644189614,3.610356
32.03790234753834,-104.25290981949657,3.6521137
32.03834007439907,-104.24236296775236,3.6935663
32.0387769292196,-104.23181588711547,3.7350192
32.03921291193441,-104.22126857803791,3.7761672
32.039648022478126,-104.2107210409717,3.8170104
32.04008226078547,-104.20017327636901,3.8575487
32.04051562679133,-104.18962528468197,3.8980873
32.040948120430684,-104.17907706636284,3.9383209
32.04137974163867,-104.16852862186391,3.9782495
32.04181049035054,-104.15797995163754,4.017874
32.04224036650167,-104.14743105613614,4.0565834
32.04266937002757,-104.13688193581221,4.0937686
32.04309750086389,-104.12633259111828,4.1294303
32.04352475894636,-104.11578302250696,4.1641774
32.04395114421092,-104.10523323043087,4.1974006
32.04437665659357,-104.09468321534277,4.2300143
32.04480129603046,-104.0841329776954,4.261409
32.04522506245787,-104.07358251794165,4.2918887
32.045647955812214,-104.06303183653435,4.3214545
32.04606997603002,-104.05248093392652,4.3504105
32.04649112304795,-104.04192981057113,4.378757
32.04691139680281,-104.03137846692127,4.4064937
32.04733079723152,-104.02082690343008,4.433621
32.04774932427111,-104.01027512055073,4.4601383
32.048166977858784,-103.99972311873648,4.4860463
32.04858375793184,-103.98917089844066,4.5116496
32.048999664427704,-103.9786184601166,4.536643
32.04941469728394,-103.96806580421776,4.561332
32.04982885643826,-103.95751293119758,4.585411
32.050242141828456,-103.94695984150965,4.608881
32.05065455339251,-103.93640653560755,4.6320457
32.05106609106848,-103.92585301394492,4.654296
32.05147675479458,-103.91529927697549,4.6762414
32.051886544509145,-103.90474532515303,4.697273
32.052295460150646,-103.89419115893136,4.717999
32.05270350165765,-103.88363677876437,4.7375064
32.05311066896891,-103.87308218510603,4.756404
32.05351696202329,-103.8625273784103,4.7743874
32.05392238075972,-103.85197235913128,4.791761
32.05432692511735,-103.84141712772305,4.807915
32.05473059503541,-103.83086168463979,4.82346
32.05513339045324,-103.82030603033574,4.8380904
32.05553531131039,-103.80975016526517,4.851806
32.05593635754644,-103.79919408988243,4.8652177
