Longitude,Latitude,Elevation
-104.8,31.82495641092829,0.914362096931117
-104.79799599198397,31.825048001523946,0.9193113193457838
-104.79599198396794,31.82513956496338,0.9251796683220481
-104.79398797595191,31.825231128402812,0.9310480172983127
-104.79198396793586,31.825322691842246,0.9369163662746189
-104.78997995991983,31.82541425528168,0.942784715250884
-104.7879759519038,31.8255057203062,0.9538380846290688
-104.78597194388777,31.825597117226298,0.9684795567512977
-104.78396793587174,31.825688514146393,0.9831210288735228
-104.78196392785571,31.82577991106649,0.9977625009957518
-104.77995991983968,31.825871307986585,1.0124039731179768
-104.77795591182364,31.825962647459868,1.0270453250314016
-104.77595190380761,31.826053877858794,1.041686448703892
-104.77394789579158,31.82614510825772,1.0563275723763825
-104.77194388777555,31.82623633865665,1.0709686960488762
-104.76993987975952,31.826327569055575,1.0856098197213668
-104.76793587174349,31.826418782997475,1.1002509090203858
-104.76593186372745,31.826509846873396,1.1148916848796133
-104.76392785571142,31.82660091074932,1.1295324607387403
-104.76192384769539,31.82669197462524,1.1441732365978645
-104.75991983967936,31.826783038501166,1.1588140124569912
-104.75791583166333,31.826874102377086,1.1734547883161157
-104.7559118236473,31.826965024282597,1.1879962235815835
-104.75390781563127,31.82705592163369,1.2025204774458518
-104.75190380761522,31.827146818984783,1.2170447313102226
-104.74989979959919,31.827237716335873,1.2315689851744887
-104.74789579158316,31.827328613686966,1.246093239038757
-104.74589178356713,31.82741941009888,1.260546832825953
-104.7438877755511,31.827510140923312,1.2749545136507643
-104.74188376753507,31.827600871747745,1.2893621944755758
-104.73987975951904,31.827691602572177,1.3037698753003872
-104.737875751503,31.82778233339661,1.3181775561253004
-104.73587174348697,31.82787300433468,1.3325642297675648
-104.73386773547094,31.827963568630633,1.3469134950471995
-104.73186372745491,31.828054132926585,1.3612627603268337
-104.72985971943888,31.828144697222537,1.3756120256064681
-104.72785571142285,31.828235261518486,1.3899612908861008
-104.72585170340682,31.828325807002443,1.404317080357389
-104.72384769539077,31.828416204768093,1.418724100040822
-104.72184368737474,31.828506602533746,1.433131119724155
-104.71983967935871,31.828597000299396,1.4475381394074864
-104.71783567134268,31.828687398065046,1.4619451590908175
-104.71583166332665,31.8287777958307,1.4763521787741507
-104.71382765531062,31.828868049348102,1.489249359758611
-104.71182364729458,31.82895828058164,1.501913296668938
-104.70981963927855,31.829048511815177,1.5145772335791734
-104.70781563126252,31.829138743048713,1.527241170489409
-104.70581162324649,31.82922897428225,1.5399051073996448
-104.70380761523046,31.829319102383057,1.5510579155525523
-104.70180360721443,31.829409167082662,1.56128175209741
-104.6997995991984,31.82949923178227,1.571505588642268
-104.69779559118236,31.829589296481874,1.5817294251871985
-104.69579158316633,31.82967936118148,1.5919532617320564
-104.6937875751503,31.82976936388531,1.6021337741477368
-104.69178356713427,31.82985926204918,1.612241231550262
-104.68977955911824,31.82994916021305,1.6223486889527883
-104.6877755511022,31.830039058376926,1.6324561463553175
-104.68577154308618,31.830128956540797,1.6425636037578433
-104.68376753507013,31.830218833867228,1.6526419572319746
-104.6817635270541,31.830308565493556,1.662516809470023
-104.67975951903807,31.83039829711989,1.672391661708076
-104.67775551102204,31.830488028746217,1.6822665139461233
-104.67575150300601,31.830577760372545,1.692141366184172
-104.67374749498998,31.830667491998877,1.7020162184222254
-104.67174348697395,31.83075707742811,1.7113299672002051
-104.66973947895791,31.830846642515098,1.720565642570775
-104.66773547094188,31.830936207602083,1.7298013179412726
-104.66573146292585,31.83102577268907,1.7390369933117773
-104.66372745490982,31.831115337776055,1.7482726686822758
-104.66172344689379,31.83120479786515,1.756812436868174
-104.65971943887776,31.831294196410997,1.7649443074368925
-104.65771543086171,31.831383594956844,1.7730761780056676
-104.65571142284568,31.83147299350269,1.7812080485743864
-104.65370741482965,31.831562392048536,1.7893399191431054
-104.65170340681362,31.831651726816972,1.7979610470224316
-104.6496993987976,31.83174095881988,1.8073705227640429
-104.64769539078156,31.83183019082279,1.8167799985056563
-104.64569138276553,31.831919422825695,1.8261894742472666
-104.64368737474949,31.832008654828606,1.8355989499889465
-104.64168336673346,31.832097864295825,1.8473976111272865
-104.63967935871743,31.832186929754005,1.8744638004375314
-104.6376753507014,31.832275995212186,1.9015299897477766
-104.63567134268537,31.832365060670366,1.9285961790580217
-104.63366733466934,31.832454126128546,1.9556623683682668
-104.63166332665331,31.832543191586726,1.9827285576785119
-104.62965931863727,31.83263210922562,2.0060310569860267
-104.62765531062124,31.832721008137288,2.0288567343277215
-104.6256513026052,31.83280990704895,2.051682411669406
-104.62364729458918,31.832898805960617,2.074508089011101
-104.62164328657315,31.83298770487228,2.097333766352785
-104.61963927855712,31.833076497246957,2.114103354401151
-104.61763527054109,31.83316522961032,2.1274616030401683
-104.61563126252504,31.833253961973686,2.14081985167929
-104.61362725450901,31.833342694337052,2.1541781003183194
-104.61162324649298,31.833431426700418,2.1675363489573494
-104.60961923847695,31.833520093830213,2.1788244142908284
-104.60761523046092,31.833608659643495,2.1868972066067514
-104.60561122244489,31.83369722545678,2.1949699989226774
-104.60360721442885,31.833785791270067,2.2030427912386585
-104.60160320641282,31.83387435708335,2.2111155835545815
-104.59959919839679,31.83396289898757,2.2192383798429645
-104.59759519038076,31.83405129824899,2.2276595025494768
-104.59559118236473,31.834139697510413,2.236080625255988
-104.5935871743487,31.834228096771838,2.2445017479624996
-104.59158316633267,31.83431649603326,2.252922870669012
-104.58957915831662,31.834404895294682,2.261343993375583
-104.5875751503006,31.83449314543896,2.2673731394222605
-104.58557114228456,31.83458137814675,2.273122588145421
