n_event,n_origin,event_id,event_time,latitude,latitude_uncertainty,longitude,longitude_uncertainty,depth,depth_uncertainty,rms,region,method,earth_model,event_type,magnitude,magnitude_type,n_P_phases,n_S_phases,preferred_origin
74,1,ESG2024vulg,2024-11-06 00:39:32.769082,4.893504294302452,1.073028964841151,-75.34861068923973,0.9439865465224809,3477.6785714285716,1570.3573836183155,0.0873710484763853,Colombia,NonLinLoc,Nereidas,earthquake,1.23,ML,8,8,True
74,2,ESG2024vulg,2024-11-06 00:39:32.880000,4.898,0.565685424949238,-75.34316666666666,0.565685424949238,3310.0,800.0,0.07,Colombia,Hypo71,RSNC,earthquake,1.23,ML,7,7,False
74,3,ESG2024vulg,2024-11-06 00:39:32.750000,4.897833333333333,0.4949747468305832,-75.33816666666667,0.4949747468305832,3350.0,800.0,0.07,Colombia,Hypo71,RSNC,earthquake,1.23,ML,8,8,False
73,0,ESG2024vusk,2024-11-06 04:16:48.603026,4.897865222809917,1.3493176496207937,-75.35800241611166,1.9920937314883367,3477.6785714285716,2735.2268256166035,0.12031340486420676,Colombia,NonLinLoc,Nereidas,earthquake,0.56,ML,5,5,True
73,1,ESG2024vusk,2024-11-06 04:16:48.549999,4.904666666666667,1.626345596729059,-75.34666666666666,1.626345596729059,3380.0,2300.0,0.11,Colombia,Hypo71,RSNC,earthquake,0.56,ML,5,5,False
72,0,ESG2024vwsd,2024-11-07 06:24:26.965734,4.924030793854707,0.9987885115992203,-75.35885446816471,0.7801196836299042,5272.321428571428,890.3365408147844,0.145870080347811,Colombia,NonLinLoc,Nereidas,earthquake,1.17,ML,10,10,False
72,1,ESG2024vwsd,2024-11-07 06:24:26.933756,4.924636478369632,1.3820382141567882,-75.36205640386761,1.1288307684984646,5720.982142857142,1370.6858961871606,0.1511260411448812,Colombia,NonLinLoc,Nereidas,earthquake,1.17,ML,9,9,True
72,2,ESG2024vwsd,2024-11-07 06:24:26.949999,4.935833333333333,0.7071067811865475,-75.35283333333334,0.7071067811865475,5690.0,900.0,0.12,Colombia,Hypo71,RSNC,earthquake,1.17,ML,10,10,False
72,3,ESG2024vwsd,2024-11-07 06:24:26.800000,4.933666666666666,0.9192388155425117,-75.3595,0.9192388155425117,8220.0,1000.0,0.8750556268423104,Colombia,Hypo71,RSNC,earthquake,1.17,ML,9,9,False
72,4,ESG2024vwsd,2024-11-07 06:24:26.859999,4.941,0.8485281374238569,-75.34933333333333,0.8485281374238569,5200.0,1300.0,0.14,Colombia,Hypo71,RSNC,earthquake,1.17,ML,9,9,False
70,0,ESG2024vwuj,2024-11-07 07:31:46.564502,4.90925209169052,2.1498865485749623,-75.37550536661398,1.6578343459466673,9160.714285714284,1539.7585225081282,0.11135965993926583,Colombia,NonLinLoc,Nereidas,earthquake,0.6,MLv,5,5,False
70,1,ESG2024vwuj,2024-11-07 07:31:46.564502,4.90925209169052,2.1498865485749623,-75.37550536661398,1.6578343459466673,9160.714285714284,1539.7585225081282,0.11135965993926583,Colombia,NonLinLoc,Nereidas,earthquake,0.6,MLv,5,5,False
70,2,ESG2024vwuj,2024-11-07 07:31:46.554271,4.917489401093509,1.946953891683459,-75.3712357569189,1.5510898244083635,8562.5,1412.4927921755743,0.11520052966101976,Colombia,NonLinLoc,Nereidas,earthquake,0.6,MLv,5,5,True
70,3,ESG2024vwuj,2024-11-07 07:31:46.469999,4.913666666666667,1.34350288425444,-75.37433333333334,1.34350288425444,11160.0,1000.0,0.1,Colombia,Hypo71,RSNC,earthquake,0.6,MLv,5,5,False
70,4,ESG2024vwuj,2024-11-07 07:31:46.859999,4.903666666666666,0.9192388155425117,-75.40616666666666,0.9192388155425117,10190.0,600.0,0.09,Colombia,Hypo71,RSNC,earthquake,0.6,MLv,6,6,False
