ev_id,network_code,station_code,location_code,channel_code,phase_hint,time,time_lower_error,time_upper_error,author,filter_id,method_id,polarity,evaluation_mode,evaluation_status,time_correction,azimuth,distance,takeoff_angle,time_residual,time_weight,used
texnet2024hstr,TX,PECS,00,HHZ,P,2024-04-19 21:08:39.047324,0.1,0.1,Fernando,,,,manual,,0.0,137.19846062014003,0.4133403022469581,92.7,0.011598248759083774,1.3200735228675378,True
texnet2024hstr,TX,PECS,00,HH1,S,2024-04-19 21:08:44.523686,0.2,0.2,Fernando,,,,manual,,0.0,137.19846062014003,0.4133403022469581,92.7,-0.937691464299725,0.0,True
texnet2024hstr,TX,PB12,00,HHZ,P,2024-04-19 21:08:40.389380,0.1,0.1,Fernando,,,,manual,,0.0,156.23469143094326,0.5030577514773228,92.1,-0.35375421650642025,0.8198386981340634,True
texnet2024hstr,TX,PB12,00,HHE,S,2024-04-19 21:08:47.163077,0.2,0.2,Fernando,,,,manual,,0.0,156.23469143094326,0.5030577514773228,92.1,-1.2862806789444008,0.0,True
texnet2024hstr,TX,VHRN,00,HHZ,P,2024-04-19 21:08:51.149134,0.2,0.2,Fernando,,,,manual,,0.0,217.78351750454303,1.113848209142434,77.5,-0.9489325620055808,0.1718167482774391,True
texnet2024hstr,TX,PB09,00,BHN,S,2024-04-19 21:08:36.202132,0.1,0.1,Fernando,,,,manual,,0.0,319.43272158171385,0.13499071516518096,105.7,-0.24885147684638387,1.0147540839047982,True
texnet2024hstr,TX,PB09,00,BHZ,P,2024-04-19 21:08:34.038626,0.1,0.1,Fernando,,,,manual,,0.0,319.43272158171385,0.13499071516518096,105.7,0.15143583683000017,1.109012596903703,True
texnet2024hstr,TX,PB34,00,HHZ,P,2024-04-19 21:08:34.024824,0.1,0.1,Fernando,,,positive,manual,,0.0,88.40597813081675,0.1362320800682499,105.2,0.15456366545707745,1.0994942276794593,True
texnet2024hstr,TX,PB34,00,HH2,S,2024-04-19 21:08:36.263509,0.1,0.1,Fernando,,,,manual,,0.0,88.40597813081675,0.1362320800682499,105.2,-0.1578296481242205,1.1974450597221313,True
texnet2024hstr,TX,PB31,00,HH2,S,2024-04-19 21:08:36.712635,0.2,0.2,Fernando,,,,manual,,0.0,67.37538001728792,0.15447460303186852,101.9,-0.26840189097656175,0.971753875559254,True
