time,magnitude,sigma_time,sigma_amp,cov_time_amp,gamma_score,num_picks,num_p_picks,num_s_picks,event_index,x(km),y(km),z(km)
2022-11-16 21:30:14.356,999,0.027118739108360216,0,0,15.0,13,6,7,2022-11-16 21:30:14.356,3718.810107230615,-11639.646505492905,6.67784761847873
2022-11-16 21:32:44.845,999,0.40909977501211187,0,0,25.999999999999694,25,12,13,2022-11-16 21:32:44.845,3718.3056876125215,-11576.518353588599,8.441677114700589
