ev_id,origin_time,eq_latitude,eq_longitude,magnitude,v_ij
texnet2022byfo,2022-01-28 11:37:13.675000,31.5987,-104.21645,2.86,1.7580049337879669
texnet2022bypa,2022-01-28 16:23:21.928000,31.62269,-104.34527,2.59,1.7037108746338059
texnet2022cbxs,2022-01-30 12:10:34.792000,31.6221,-104.34483,2.17,1.9246483084032278
texnet2022cpbp,2022-02-06 16:54:57.399000,31.64714,-104.22395,2.44,1.4887886104265244
texnet2022cucm,2022-02-09 11:01:55.698999,31.61891,-104.11761,2.28,1.659212054630739
texnet2022dbvu,2022-02-13 16:45:20.254000,31.65769,-104.32084,2.44,1.6909088738654494
texnet2022ddtn,2022-02-14 17:53:00.506000,31.61807,-104.11495,2.78,1.7692308698649761
texnet2022dgre,2022-02-16 08:06:09.236000,31.69042,-104.29833,2.08,1.8462464384208683
texnet2022domp,2022-02-20 14:52:33.122999,31.59075,-104.20037,1.8,1.6765428970129408
texnet2022drwn,2022-02-22 11:18:16.361000,31.69117,-104.30907,1.9,1.7338292099286146
texnet2022drxr,2022-02-22 11:52:54.756000,31.69108,-104.30787,2.88,1.9541675099483973
texnet2022drzp,2022-02-22 12:50:28.751999,31.65661,-104.31671,3.01,1.6624551356948456
texnet2022dscs,2022-02-22 14:25:26.658999,31.65737,-104.31637,2.19,1.6912721563681516
texnet2022dser,2022-02-22 15:24:44.630000,31.65559,-104.3182,1.69,3.1133885253927973
texnet2022dsth,2022-02-22 22:48:21.567000,31.64542,-104.23007,2.27,1.574632900863015
texnet2022dsve,2022-02-22 23:44:56.825000,31.64902,-104.23005,2.02,1.7399473956880407
texnet2022duwl,2022-02-24 02:39:39.478999,31.66954,-104.26352,2.19,1.9070012978081339
texnet2022ebam,2022-02-27 11:31:15.305999,31.65937,-104.31014,2.87,1.7902846934748473
texnet2022ebbw,2022-02-27 12:12:48.231000,31.6563,-104.25561,2.32,1.7507300377303665
texnet2022ebqc,2022-02-27 19:24:48.182999,31.65837,-104.31132,2.0,1.6866078728882852
texnet2022ecfh,2022-02-28 03:04:17.846000,31.61278,-104.32,2.62,1.884468478656073
texnet2022edpl,2022-02-28 21:21:23.426999,31.65937,-104.30908,1.97,1.7785434775427178
texnet2022efmo,2022-03-01 22:09:59.908999,31.6187,-104.33598,2.02,1.7462105313746532
texnet2022ejig,2022-03-04 00:31:47.331000,31.66156,-104.32316,2.2,1.7081508549895053
texnet2022elff,2022-03-05 01:16:18.480000,31.65855,-104.31776,2.11,1.6648761789478996
texnet2022elfg,2022-03-05 01:16:51.792000,31.65838,-104.31804,4.3,1.5766586773818705
texnet2022elgj,2022-03-05 01:51:16.871999,31.65912,-104.31325,2.12,1.7107439941742046
texnet2022elkn,2022-03-05 03:56:10.423000,31.65897,-104.31888,3.28,1.7475575028772594
texnet2022elkw,2022-03-05 04:07:20.910000,31.71735,-104.28356,1.99,0.928659484375839
texnet2022elwz,2022-03-05 10:14:22.699000,31.65871,-104.28693,2.33,1.688417033984842
texnet2022fbyh,2022-03-14 05:05:41.351999,31.62553,-104.13123,2.11,1.7758987427079165
texnet2022fcvm,2022-03-14 16:48:35.295999,31.60464,-104.22673,3.0,1.7057830956835045
texnet2022fdvm,2022-03-15 05:55:54.582000,31.71649,-104.28351,1.97,1.196879289576156
texnet2022ffkf,2022-03-16 02:31:39.826000,31.60372,-104.22391,2.0,1.6951023129169245
texnet2022foss,2022-03-21 05:02:10.526999,31.54611,-104.15983,2.15,1.6248024032494823
