OBJECTID,yr,mon,day,hr,min_,sec,evid,latitude,longitude,depth,magnitude,qID,cID,nbranch,qnpair,qndiffP,qndiffS,rmsP,rmsS,eh,ez,et,latC,lonC,depC,ev_id,EventDate,Shape,origin_time,x[km],y[km],z[km]
13004,2017,12,21,2,23,32.805,314677412,31.6598,-104.34244,7.338,1.46,13004,429,2,1,3,3,0.0,0.0,-1,-1,-1.0,31.65985,-104.34868,8.681,texnet2017ywyv,1513823013000,,2017-12-21 02:23:32.804999,-11615.3472889277,3718.736468129888,7.338
10882,2017,12,28,8,45,32.147,315305132,31.63788,-104.33153,5.943,1.33,10882,1791,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.63788,-104.33153,5.943,texnet2017zkfy,1514450732000,,2017-12-28 08:45:32.146999,-11614.132793283146,3715.8700512607866,5.943
7403,2017,12,28,13,25,57.799,315321957,31.6452,-104.28651,7.263,1.45,7403,1441,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.6452,-104.28651,7.263,texnet2017zkpd,1514467558000,,2017-12-28 13:25:57.798999,-11609.121189807633,3716.827191945193,7.263
8569,2017,12,31,14,33,53.145,315585233,31.64429,-104.35833,7.728,2.09,8569,1070,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.64429,-104.35833,7.728,texnet2017zqdy,1514730833000,,2017-12-31 14:33:53.145000,-11617.116155636404,3716.708199042639,7.728
10731,2018,1,3,16,49,32.434,315852572,31.63788,-104.35511,5.649,1.43,10731,2071,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.63788,-104.35511,5.649,texnet2018aeyh,1514998172000,,2018-01-03 16:49:32.433999,-11616.757706876051,3715.8700512607866,5.649
911,2018,1,4,5,16,57.438,315897417,31.64703,-104.35082,5.894,1.48,911,1750,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.64703,-104.35082,5.894,texnet2018afwx,1515043017000,,2018-01-04 05:16:57.438000,-11616.280146260546,3717.0664888909537,5.894
5436,2018,1,6,23,47,48.361,316136868,31.6599,-104.34206,7.921,1.74,5436,429,2,1,3,3,0.0,0.0,-1,-1,-1.0,31.65985,-104.33582,6.578,texnet2018akyq,1515282468000,,2018-01-06 23:47:48.360999,-11615.304987521198,3718.7495463983255,7.921
4130,2018,1,7,5,32,15.182,316157535,31.65802,-104.34011,9.219,1.42,4130,3449,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.65802,-104.34011,9.219,texnet2018aljz,1515303135000,,2018-01-07 05:32:15.182000,-11615.087914514152,3718.5036773067486,9.219
16053,2018,1,7,7,15,45.153,316163745,31.6452,-104.35297,8.926,1.7,16053,2954,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.6452,-104.35297,8.926,texnet2018alnj,1515309345000,,2018-01-07 07:15:45.152999,-11616.519483165752,3716.827191945193,8.926
2900,2018,1,24,7,37,20.768,317633840,31.64737,-104.33115,9.088,1.32,2900,1696,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.64737,-104.33115,9.088,texnet2018bqpq,1516779441000,,2018-01-24 07:37:20.768000,-11614.090491876643,3717.1109489516875,9.088
9384,2018,3,7,13,24,49.975,321283489,31.64154,-104.32724,3.448,2.02,9384,3747,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.64154,-104.32724,3.448,texnet2018epug,1520429090000,,2018-03-07 13:24:49.975000,-11613.655232667641,3716.348612184121,3.448
18017,2018,3,11,19,59,31.602,321652771,31.63879,-104.3519,8.657,1.95,18017,1058,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.63879,-104.3519,8.657,texnet2018exph,1520798372000,,2018-03-11 19:59:31.602000,-11616.400371310605,3715.9890359604688,8.657
12982,2018,3,24,16,59,47.259,322765187,31.61774,-104.33367,8.779,1.36,12982,2215,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.61774,-104.33367,8.779,texnet2018fvcw,1521910787000,,2018-03-24 16:59:47.259000,-11614.371016993442,3713.236995518672,8.779
10253,2018,6,1,6,29,45.555,328688985,31.63971,-104.32939,3.986,1.73,10253,2626,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.63971,-104.32939,3.986,texnet2018kqjw,1527834586000,,2018-06-01 06:29:45.554999,-11613.894569572847,3716.109329367952,3.986
2970,2018,6,1,12,19,40.965,328709980,31.61508,-104.35579,10.116,1.2,2970,2148,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.61508,-104.35579,10.116,texnet2018kqvj,1527855581000,,2018-06-01 12:19:40.965000,-11616.83340412979,3712.8892760448657,10.116
14557,2018,6,7,12,49,29.254,329230169,31.6777,-104.33252,10.116,1.25,14557,1290,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.6777,-104.33252,10.116,texnet2018lbvi,1528375769000,,2018-06-07 12:49:29.254000,-11614.242999579032,3721.077702482838,10.116
7527,2018,6,10,3,8,14.861,329454495,31.6632,-104.33837,5.405,1.68,7527,2,1064,17,54,58,0.02,0.03,-1,-1,-1.0,31.6571,-104.35618,3.473,texnet2018lgos,1528600095000,,2018-06-10 03:08:14.861000,-11614.894218600171,3719.181137153518,5.405
