ev_id,origin_time,eq_latitude,eq_longitude,magnitude,v_ij
texnet2021dbkb,2021-02-13 10:49:17.548999,31.61473,-104.09761,1.73,1.4825788805569735
texnet2021dbva,2021-02-13 16:21:32.286000,31.70213,-104.15128,1.72,1.5587975542558061
texnet2021ddxy,2021-02-14 20:06:29.925000,31.61562,-104.10213,1.62,1.1811271244752886
texnet2021demw,2021-02-15 03:37:48.728000,31.73223,-104.10309,1.81,1.663563659518215
texnet2021dexw,2021-02-15 09:12:15.875000,31.5791,-104.01502,1.52,0.2666641957005191
texnet2021difa,2021-02-17 04:13:58.158000,31.73399,-104.1016,1.61,1.7797551719385962
texnet2021diqg,2021-02-17 09:52:26.033000,31.61606,-104.10221,2.29,1.5556846578261476
texnet2021dngq,2021-02-19 22:43:57.033999,31.70086,-104.14579,1.64,1.6518347196623733
texnet2021dnqp,2021-02-20 03:45:18.164000,31.61528,-104.09905,1.5,1.7407953093287227
texnet2021dnrx,2021-02-20 04:25:10.766999,31.69932,-104.14261,1.61,1.6377171827204653
texnet2021dozu,2021-02-20 21:32:17.196999,31.69929,-104.14101,1.6,1.6028759875828051
texnet2021dqbw,2021-02-21 11:43:56.845999,31.52413,-104.04152,2.44,1.713821282576336
texnet2021drdt,2021-02-22 01:49:07.636000,31.52409,-104.0418,2.32,1.622436272754004
texnet2021dwkq,2021-02-24 22:58:29.190000,31.6154,-104.09731,1.59,1.475201983243978
texnet2021dynm,2021-02-26 02:41:22.972000,31.59446,-103.98921,1.64,1.0666623281666905
texnet2021egfl,2021-03-02 07:42:40.237000,31.51605,-104.00825,1.72,1.5142849968946464
texnet2021egmy,2021-03-02 11:30:26.429999,31.51577,-104.00837,1.75,1.5217230792555811
texnet2021ehob,2021-03-03 01:12:07.714000,31.51547,-104.00829,2.38,1.6769737147911874
texnet2021ehoe,2021-03-03 01:15:38.646000,31.51652,-104.01023,1.96,1.6845730500997687
texnet2021ehpd,2021-03-03 01:45:09.561999,31.51633,-104.00991,1.53,1.6806768932226541
texnet2021ehxg,2021-03-03 05:50:56.295000,31.51574,-104.00797,1.71,1.4009431006818547
texnet2021eiaj,2021-03-03 07:24:54.896000,31.73009,-104.0909,2.25,1.698647646752401
texnet2021eial,2021-03-03 07:26:35.180999,31.72984,-104.09088,3.16,1.7346035286378694
texnet2021ejdv,2021-03-03 22:16:28.001000,31.51564,-104.00822,2.26,1.4979251675117777
texnet2021ejme,2021-03-04 02:31:01.318000,31.51535,-104.00885,1.83,1.5476194101435812
texnet2021ekmb,2021-03-04 15:36:25.588999,31.51729,-104.01034,1.79,1.553547272544982
texnet2021entr,2021-03-06 10:50:47.731000,31.51769,-104.00974,1.52,1.464424094590482
texnet2021epzm,2021-03-07 16:03:44.113999,31.51874,-104.01039,1.5,1.5789472830705162
texnet2021eqjw,2021-03-07 21:17:21.707999,31.51882,-104.00976,1.74,1.5255700320120744
texnet2021espn,2021-03-09 02:25:42.761000,31.70188,-104.1451,1.72,1.646340405532603
texnet2021esxt,2021-03-09 06:35:00.707000,31.5808,-104.01417,1.53,1.6617655909364237
texnet2021ezjh,2021-03-12 19:14:12.672000,31.51636,-104.00878,1.74,1.662447284209634
texnet2021ezjj,2021-03-12 19:16:28.199999,31.51621,-104.00842,1.91,1.702363939125669
texnet2021faqt,2021-03-13 12:08:39.841000,31.51517,-104.00696,1.89,1.6903651704915685
texnet2021fazf,2021-03-13 16:25:00.138000,31.61683,-104.09421,1.85,1.6712235551986747
