OBJECTID,yr,mon,day,hr,min_,sec,evid,latitude,longitude,depth,magnitude,qID,cID,nbranch,qnpair,qndiffP,qndiffS,rmsP,rmsS,eh,ez,et,latC,lonC,depC,ev_id,EventDate,Shape,origin_time,x[km],y[km],z[km]
6266,2017,8,14,1,6,52.483,303527212,31.64703,-104.52875,5.453,1.61,6266,3132,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.64703,-104.52875,5.453,texnet2017pvek,1502672812000,,2017-08-14 01:06:52.482999,-11636.087223257395,3717.0664888909537,5.453
2756,2017,8,14,5,40,55.469,303543655,31.64703,-104.52875,6.97,1.76,2756,1777,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.64703,-104.52875,6.97,texnet2017pvnl,1502689255000,,2017-08-14 05:40:55.469000,-11636.087223257395,3717.0664888909537,6.97
14826,2017,8,16,16,28,29.177,303755309,31.64795,-104.53411,7.239,1.7,14826,2739,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.64795,-104.53411,7.239,texnet2017pzzu,1502900909000,,2017-08-16 16:28:29.176999,-11636.683895728045,3717.186792960008,7.239
12612,2017,9,27,11,26,34.975,307365994,31.64154,-104.52232,3.155,1.5,12612,824,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.64154,-104.52232,3.155,texnet2017syiz,1506511595000,,2017-09-27 11:26:34.975000,-11635.371438931594,3716.348612184121,3.155
19407,2017,10,3,19,15,18.647,307912518,31.66901,-104.50302,6.334,1.53,19407,1231,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.66901,-104.50302,6.334,texnet2017tjxk,1507058119000,,2017-10-03 19:15:18.646999,-11633.222972759284,3719.9410357106717,6.334
959,2018,1,1,5,25,45.94,315638745,31.64703,-104.52446,5.698,1.24,959,2914,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.64703,-104.52446,5.698,texnet2018aaks,1514784346000,,2018-01-01 05:25:45.939999,-11635.609662641893,3717.0664888909537,5.698
505,2018,1,1,8,18,39.852,315649119,31.6507,-104.52661,3.35,1.44,505,1706,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.6507,-104.52661,3.35,texnet2018aaql,1514794720000,,2018-01-01 08:18:39.851999,-11635.848999547097,3717.546404613085,3.35
15714,2018,1,5,1,45,56.139,315971156,31.65436,-104.52446,2.714,1.74,15714,3312,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.65436,-104.52446,2.714,texnet2018ahln,1515116756000,,2018-01-05 01:45:56.139000,-11635.609662641893,3718.0250315350295,2.714
14834,2018,1,6,17,1,38.2,316112498,31.66443,-104.3519,5.429,1.59,14834,2886,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.66443,-104.3519,5.429,texnet2018aklf,1515258098000,,2018-01-06 17:01:38.200000,-11616.400371310605,3719.3420067205084,5.429
12678,2018,1,18,6,13,0.323,317110380,31.65436,-104.53947,3.252,1.59,12678,745,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.65436,-104.53947,3.252,texnet2018bfnw,1516255980000,,2018-01-18 06:13:00.323000,-11637.2805681987,3718.0250315350295,3.252
10001,2018,2,3,7,18,11.253,318496691,31.64703,-104.53304,3.35,1.48,10001,3876,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.64703,-104.53304,3.35,texnet2018civz,1517642291000,,2018-02-03 07:18:11.253000,-11636.564783872896,3717.0664888909537,3.35
2523,2018,2,3,7,35,53.599,318497753,31.6507,-104.52661,4.231,1.93,2523,3853,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.6507,-104.52661,4.231,texnet2018ciwq,1517643354000,,2018-02-03 07:35:53.598999,-11635.848999547097,3717.546404613085,4.231
