longitude,latitude,gap
-104.80329,31.4361,165.46
-104.80329,31.4461,165.64
-104.80329,31.4561,165.81
-104.80329,31.4661,165.97
-104.80329,31.4761,166.13
-104.80329,31.4861,166.28
-104.80329,31.4961,166.43
-104.80329,31.5061,166.57
-104.80329,31.5161,166.70
-104.80329,31.5261,166.83
-104.80329,31.5361,166.95
-104.80329,31.5461,167.07
-104.80329,31.5561,167.18
-104.80329,31.5661,167.29
-104.80329,31.5761,167.38
-104.80329,31.5861,167.48
-104.80329,31.5961,167.56
-104.80329,31.6061,167.64
-104.80329,31.6161,167.71
-104.80329,31.6261,167.78
-104.80329,31.6361,167.84
-104.80329,31.6461,167.89
-104.80329,31.6561,167.93
-104.80329,31.6661,167.96
-104.80329,31.6761,167.99
-104.80329,31.6861,168.00
-104.80329,31.6961,168.00
-104.80329,31.7061,167.98
-104.80329,31.7161,167.95
-104.80329,31.7261,167.90
-104.80329,31.7361,167.83
-104.80329,31.7461,167.73
-104.80329,31.7561,167.60
-104.80329,31.7661,167.44
-104.80329,31.7761,167.23
-104.80329,31.7861,166.96
-104.80329,31.7961,166.61
-104.80329,31.8061,166.15
-104.80329,31.8161,165.55
-104.80329,31.8261,164.74
-104.80329,31.8361,163.60
-104.80329,31.8461,161.91
-104.80329,31.8561,159.21
-104.80329,31.8661,154.34
-104.80329,31.8761,143.48
-104.80329,31.8861,109.18
-104.80329,31.8961,149.60
-104.80329,31.9061,175.36
-104.79329,31.3961,162.93
-104.79329,31.4061,163.13
-104.79329,31.4161,163.32
-104.79329,31.4261,163.49
-104.79329,31.4361,163.67
-104.79329,31.4461,163.83
-104.79329,31.4561,163.98
-104.79329,31.4661,164.13
-104.79329,31.4761,164.27
-104.79329,31.4861,164.40
-104.79329,31.4961,164.53
-104.79329,31.5061,164.64
-104.79329,31.5161,164.75
-104.79329,31.5261,164.85
-104.79329,31.5361,164.94
-104.79329,31.5461,165.03
-104.79329,31.5561,165.10
-104.79329,31.5661,165.17
-104.79329,31.5761,165.23
-104.79329,31.5861,165.27
-104.79329,31.5961,165.31
-104.79329,31.6061,165.34
-104.79329,31.6161,165.36
-104.79329,31.6261,165.36
-104.79329,31.6361,165.35
-104.79329,31.6461,165.33
-104.79329,31.6561,165.30
-104.79329,31.6661,165.24
-104.79329,31.6761,165.17
-104.79329,31.6861,165.07
-104.79329,31.6961,164.96
-104.79329,31.7061,164.81
-104.79329,31.7161,164.63
-104.79329,31.7261,164.42
-104.79329,31.7361,164.16
-104.79329,31.7461,163.86
-104.79329,31.7561,163.48
-104.79329,31.7661,163.04
-104.79329,31.7761,162.49
-104.79329,31.7861,161.83
-104.79329,31.7961,161.00
-104.79329,31.8061,159.97
-104.79329,31.8161,158.63
-104.79329,31.8261,156.88
-104.79329,31.8361,154.48
-104.79329,31.8461,151.07
-104.79329,31.8561,145.90
-104.79329,31.8661,137.43
-104.79329,31.8761,122.25
-104.79329,31.8861,96.46
-104.79329,31.8961,131.06
-104.79329,31.9061,155.35
-104.78329,31.3961,161.19
-104.78329,31.4061,161.38
-104.78329,31.4161,161.55
-104.78329,31.4261,161.72
-104.78329,31.4361,161.88
-104.78329,31.4461,162.03
-104.78329,31.4561,162.16
-104.78329,31.4661,162.29
-104.78329,31.4761,162.41
-104.78329,31.4861,162.53
-104.78329,31.4961,162.63
-104.78329,31.5061,162.72
-104.78329,31.5161,162.80
-104.78329,31.5261,162.87
-104.78329,31.5361,162.94
-104.78329,31.5461,162.99
-104.78329,31.5561,163.03
-104.78329,31.5661,163.06
-104.78329,31.5761,163.08
-104.78329,31.5861,163.08
-104.78329,31.5961,163.07
-104.78329,31.6061,163.05
-104.78329,31.6161,163.01
-104.78329,31.6261,162.95
-104.78329,31.6361,162.88
-104.78329,31.6461,162.79
-104.78329,31.6561,162.67
-104.78329,31.6661,162.53
-104.78329,31.6761,162.37
-104.78329,31.6861,162.17
-104.78329,31.6961,161.94
-104.78329,31.7061,161.66
-104.78329,31.7161,161.34
-104.78329,31.7261,160.97
