longitude,latitude,gap
-103.97890,30.80960,122.92
-103.97890,30.81960,121.66
-103.97890,30.82960,120.42
-103.97890,30.83960,119.20
-103.97890,30.84960,117.99
-103.97890,30.85960,116.80
-103.97890,30.86960,115.63
-103.97890,30.87960,114.47
-103.97890,30.88960,113.33
-103.97890,30.89960,112.21
-103.97890,30.90960,111.10
-103.97890,30.91960,110.01
-103.97890,30.92960,108.93
-103.97890,30.93960,107.87
-103.97890,30.94960,106.81
-103.97890,30.95960,105.78
-103.97890,30.96960,104.76
-103.97890,30.97960,103.75
-103.97890,30.98960,102.75
-103.97890,30.99960,101.77
-103.97890,31.00960,100.79
-103.97890,31.01960,99.83
-103.97890,31.02960,98.89
-103.97890,31.03960,97.95
-103.97890,31.04960,97.03
-103.97890,31.05960,96.12
-103.97890,31.06960,95.22
-103.97890,31.07960,94.33
-103.97890,31.08960,93.45
-103.97890,31.09960,92.58
-103.97890,31.10960,91.73
-103.97890,31.11960,90.88
-103.97890,31.12960,90.05
-103.97890,31.13960,89.22
-103.97890,31.14960,88.41
-103.97890,31.15960,87.60
-103.97890,31.16960,86.81
-103.97890,31.17960,86.02
-103.97890,31.18960,85.25
-103.97890,31.19960,84.48
-103.97890,31.20960,83.73
-103.97890,31.21960,82.98
-103.97890,31.22960,82.25
-103.97890,31.23960,81.52
-103.97890,31.24960,80.80
-103.97890,31.25960,80.09
-103.97890,31.26960,79.07
-103.97890,31.27960,76.00
-103.97890,31.28960,73.56
-103.97890,31.29960,71.56
-103.97890,31.30960,69.86
-103.97890,31.31960,69.44
-103.97890,31.32960,69.12
-103.97890,31.33960,68.77
-103.97890,31.34960,68.40
-103.97890,31.35960,68.01
-103.97890,31.36960,67.59
-103.97890,31.37960,67.15
-103.97890,31.38960,66.69
-103.97890,31.39960,66.21
-103.97890,31.40960,65.70
-103.97890,31.41960,65.17
-103.97890,31.42960,64.61
-103.97890,31.43960,64.03
-103.97890,31.44960,63.43
-103.97890,31.45960,62.80
-103.97890,31.46960,62.15
-103.97890,31.47960,61.48
-103.97890,31.48960,60.79
-103.97890,31.49960,60.08
-103.97890,31.50960,59.34
-103.97890,31.51960,53.41
-103.97890,31.52960,52.91
-103.97890,31.53960,52.43
-103.97890,31.54960,51.96
-103.97890,31.55960,51.50
-103.97890,31.56960,51.05
-103.97890,31.57960,50.61
-103.97890,31.58960,50.17
-103.97890,31.59960,47.57
-103.97890,31.60960,43.40
-103.97890,31.61960,39.81
-103.97890,31.62960,36.72
-103.97890,31.63960,34.04
-103.97890,31.64960,31.70
-103.97890,31.65960,29.65
-103.97890,31.66960,27.83
-103.97890,31.67960,26.22
-103.97890,31.68960,24.79
-103.97890,31.69960,23.50
-103.97890,31.70960,22.33
-103.96890,30.79960,123.42
-103.96890,30.80960,122.15
-103.96890,30.81960,120.90
-103.96890,30.82960,119.67
-103.96890,30.83960,118.46
-103.96890,30.84960,117.27
-103.96890,30.85960,116.09
-103.96890,30.86960,114.94
-103.96890,30.87960,113.79
-103.96890,30.88960,112.67
-103.96890,30.89960,111.56
-103.96890,30.90960,110.46
-103.96890,30.91960,109.38
-103.96890,30.92960,108.32
-103.96890,30.93960,107.27
-103.96890,30.94960,106.23
-103.96890,30.95960,105.21
-103.96890,30.96960,104.20
-103.96890,30.97960,103.20
-103.96890,30.98960,102.22
-103.96890,30.99960,101.24
-103.96890,31.00960,100.28
-103.96890,31.01960,99.34
-103.96890,31.02960,98.40
-103.96890,31.03960,97.48
-103.96890,31.04960,96.57
-103.96890,31.05960,95.67
-103.96890,31.06960,94.78
-103.96890,31.07960,93.90
-103.96890,31.08960,93.03
-103.96890,31.09960,92.17
-103.96890,31.10960,91.33
-103.96890,31.11960,90.49
-103.96890,31.12960,89.67
-103.96890,31.13960,88.85
-103.96890,31.14960,88.05
-103.96890,31.15960,87.25
-103.96890,31.16960,86.47
-103.96890,31.17960,85.69
-103.96890,31.18960,84.93
-103.96890,31.19960,84.17
-103.96890,31.20960,83.42
-103.96890,31.21960,82.68
-103.96890,31.22960,81.96
-103.96890,31.23960,81.24
-103.96890,31.24960,77.24
-103.96890,31.25960,73.63
-103.96890,31.26960,71.08
-103.96890,31.27960,69.56
-103.96890,31.28960,69.50
-103.96890,31.29960,69.25
-103.96890,31.30960,68.97
-103.96890,31.31960,68.67
-103.96890,31.32960,68.34
-103.96890,31.33960,68.00
-103.96890,31.34960,67.63
-103.96890,31.35960,67.24
-103.96890,31.36960,66.83
-103.96890,31.37960,66.40
-103.96890,31.38960,65.94
-103.96890,31.39960,65.46
-103.96890,31.40960,64.96
-103.96890,31.41960,64.44
-103.96890,31.42960,63.89
-103.96890,31.43960,63.32
-103.96890,31.44960,62.73
-103.96890,31.45960,62.11
-103.96890,31.46960,61.48
-103.96890,31.47960,60.82
-103.96890,31.48960,60.14
-103.96890,31.49960,59.44
-103.96890,31.50960,58.50
-103.96890,31.51960,52.08
-103.96890,31.52960,51.64
-103.96890,31.53960,51.21
-103.96890,31.54960,50.78
-103.96890,31.55960,50.37
