event,event,event,event,event,event,loc,loc,loc,loc,loc,loc,loc,loc,loc,method,method,method,method,method,method,method,method,method,method,method,method,creation,creation,creation,creation,creation,creation,picks,picks,picks,picks,picks,picks,picks,picks,picks,picks,picks,picks,mag,mag,mag,mag,mag,mag
id,type,type_certainty,agency,evaluation_mode,evaluation_status,origin_time,longitude,longitude_error,latitude,latitude_error,depth,depth_error,method_id,earth_model_id,horizontal_uncertainty,min_horizontal_uncertainty,max_horizontal_uncertainty,azimuth_max_horizontal_uncertainty,preferred_description,confidence_level,semi_major_axis_length,semi_minor_axis_length,semi_intermediate_axis_length,major_axis_plunge,major_axis_azimuth,major_axis_rotation,agency_id,agency_uri,author,author_uri,creation_time,version,associated_phase_count,used_phase_count,associated_station_count,used_station_count,depth_phase_count,standard_error,azimuthal_gap,secondary_azimuthal_gap,ground_truth_level,minimum_distance,maximum_distance,median_distance,mag,uncertainty,type,method_id,station_count,evaluation_status
texnet2024hstr,earthquake,known,TX,manual,final,2024-04-19 21:08:30.469108,-104.198,0.2685840489055576,31.672,0.3461526655727811,7227.8,734.777889604226,smi:org.gfz-potsdam.de/geofon/NonLinLoc,smi:org.gfz-potsdam.de/geofon/PB1D-20170918-topoLV,544.3318041775673,381.0626236499417,544.3318041775673,21.728453618146546,,,1384922.9088803541,464224.4497305103,670776.823415737,175.0036535875969,20.041753034150286,93.80830670639467,TX,,Fernando,,2024-04-22T12:52:17.678734Z,,65,61,,35,,0.2,62.0,110.0,-,0.1,0.4,0.2,2.1,0.3,ML,trimmed_mean,37,confirmed
texnet2024hrwo,earthquake,known,TX,manual,final,2024-04-19 09:27:37.173812,-104.417,0.8189656751382957,31.672,0.7041035664488012,6945.8,1361.4729836242082,smi:org.gfz-potsdam.de/geofon/NonLinLoc,smi:org.gfz-potsdam.de/geofon/PB1D-20170918-topoLV,1373.8903886644275,891.7950445135883,1373.8903886644275,55.80775812815298,,,2885405.07018334,904611.4203272053,1231658.0486018087,150.30422654865592,24.08819980209285,66.46604643073354,TX,,Victor,,2024-04-19T20:14:49.778891Z,,24,24,,20,,0.2,66.0,77.0,-,0.0,1.0,0.3,2.1,0.1,ML,trimmed_mean,16,confirmed
texnet2024hrwl,earthquake,known,TX,manual,final,2024-04-19 09:23:13.067845,-104.41,0.5245300561556555,31.677,0.4933018586932819,5638.4,874.7413982517993,smi:org.gfz-potsdam.de/geofon/NonLinLoc,smi:org.gfz-potsdam.de/geofon/PB1D-20170918-topoLV,867.8485682377109,662.8268408037119,867.8485682377109,51.73548724567951,,,1832874.3966502934,572960.4096536081,918463.8841856201,151.74284400493818,14.939222888607597,64.64723089055823,TX,,Kate,,2024-04-19T09:44:49.825885Z,,51,30,,23,,0.1,69.0,94.0,-,0.0,0.3,0.3,2.9,0.1,ML,trimmed_mean,12,confirmed
texnet2024hrlf,earthquake,known,TX,manual,final,2024-04-19 03:43:00.012014,-104.287,0.39768981804050807,31.717,0.4943902084308412,6151.1,874.0208171585883,smi:org.gfz-potsdam.de/geofon/NonLinLoc,smi:org.gfz-potsdam.de/geofon/PB1D-20170918-topoLV,780.2972620118961,563.0875446119538,780.2972620118961,23.579935150593144,,,1693456.344150872,696585.9533526275,874464.2715231755,16.563597789223184,62.73975116654102,88.24014008603801,TX,,Anestis,,2024-04-19T08:40:03.225677Z,,75,21,,15,,0.2,60.0,86.0,-,0.0,0.2,0.2,2.6,0.1,ML,trimmed_mean,26,confirmed
texnet2024hriz,earthquake,known,TX,manual,final,2024-04-19 02:34:59.666935,-103.937,0.4791398542696284,31.605,0.4587861118812374,5920.4,2063.1400915416457,smi:org.gfz-potsdam.de/geofon/NonLinLoc,smi:org.gfz-potsdam.de/geofon/PB1D-20170918-topoLV,774.2466070909416,642.4013489546859,774.2466070909416,51.79814586134705,,,3896478.5276866835,775395.9006555931,891761.207159111,5.98144414112272,-122.10105813621315,86.54990614928053,TX,,Victor,,2024-04-19T19:57:26.771277Z,,28,17,,12,,0.1,84.0,150.0,-,0.1,0.1,0.1,1.6,0.2,ML,trimmed_mean,16,confirmed
texnet2024hrgy,earthquake,known,TX,manual,final,2024-04-19 01:33:51.844213,-104.194,0.2619606319006315,31.612,0.32357426958941715,4920.7,824.6419856367942,smi:org.gfz-potsdam.de/geofon/NonLinLoc,smi:org.gfz-potsdam.de/geofon/PB1D-20170918-topoLV,540.3472263287173,326.60272563605287,540.3472263287173,31.699204307965374,,,1552026.4487876191,403563.612341875,663855.672110695,176.30889589812202,-139.023367216028,91.12992519571445,TX,,Kate,,2024-04-19T17:55:59.000086Z,,65,40,,29,,0.1,67.0,122.0,-,0.1,0.3,0.2,1.8,0.1,ML,trimmed_mean,15,confirmed
texnet2024hrey,earthquake,known,TX,manual,final,2024-04-19 00:33:29.083274,-103.884,0.5503089971184318,31.488,0.607868307956456,6074.2,2292.298027157904,smi:org.gfz-potsdam.de/geofon/NonLinLoc,smi:org.gfz-potsdam.de/geofon/PB1D-20170918-topoLV,1105.9783082083763,568.5093558292749,1105.9783082083763,40.09544772050228,,,4342908.743245263,673077.7068465834,1268198.9918585066,7.686995677925616,-148.86431157349446,93.07667223997281,TX,,Anestis,,2024-04-19T09:26:23.154434Z,,46,23,,20,,0.1,60.0,95.0,-,0.1,0.2,0.2,1.8,0.1,ML,trimmed_mean,14,confirmed
